2gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_2gram
связи с	3	3
интересующих нас	3	2
никогда не	2	8
так же	16	15
друг другу	3	2
в данном	2	2
системы в	2	4
к тому	4	10
по сравнению	6	15
у ребенка	6	13
с этим	6	4
и как	5	6
самого начала	8	7
пути развития	2	2
точки зрения	26	13
того как	2	5
отношения к	3	3
же самое	3	6
в психологии	10	3
нам думается	6	5
что они	3	2
в целом	20	3
как бы	11	11
мы называем	3	2
что в	14	17
тем и	3	3
является как	2	3
лежит в	2	3
той же	2	4
нас к	8	4
с другими	2	2
в первую	3	3
пиаже но	2	2
было бы	4	9
между этими	6	4
таким образом	26	18
а в	2	2
что если	2	2
представляют собой	2	3
и т.д	5	3
речь в	2	2
рассматривается как	2	2
приходит к	3	2
отношению к	7	10
точку зрения	2	2
в школьном	3	9
новом направлении	2	2
с помощью	13	13
по существу	4	2
в себе	6	4
не с	2	2
только в	6	18
от этого	2	3
не имеет	2	6
сравнению с	5	14
школьного возраста	3	3
и его	6	3
мы пытались	5	2
ребенка в	8	8
не может	12	19
он не	5	7
могли бы	6	9
по себе	5	3
и тем	6	5
в них	2	3
мысли в	5	4
нашего исследования	8	5
тем что	6	8
хотя и	2	3
связи между	3	6
все основные	2	2
связей и	2	2
и следовательно	3	4
в котором	4	2
мысли и	6	2
сам пиаже	4	3
он может	2	2
в том	24	28
ребенка это	4	2
но в	5	5
все же	3	2
к анализу	3	3
приводит к	4	6
в частности	2	4
между двумя	2	2
о природе	4	2
по мере	4	3
из этого	5	2
действия и	2	3
так и	5	6
с точки	18	10
в одной	3	4
и в	23	28
исследования мы	2	2
вместе с	9	7
оба эти	3	3
в качестве	9	4
она не	3	2
исследования в	4	3
не станем	5	2
этом вопросе	4	2
в такой	3	2
другой стороны	9	2
все это	6	2
при этом	4	3
представить себе	5	3
этот вопрос	3	3
к решению	2	2
мышления но	4	2
что мы	5	11
что он	7	18
показывает что	3	7
нуждается в	2	3
с тем	7	5
только тогда	2	4
детской речи	9	5
ребенка не	2	4
в исследовании	3	4
в этом	17	27
своей природе	2	4
понятий ребенка	3	14
стороны речи	8	2
не могло	3	2
гласит что	2	2
мы и	3	4
к другу	2	4
в их	3	3
в то	7	6
как раз	4	6
в самом	7	8
в ходе	8	3
мышления и	40	7
ее в	2	2
до сих	4	3
письменной речи	2	7
во всех	3	4
связь между	6	4
мышления в	8	5
себе и	2	2
и не	9	11
показать что	2	5
связано с	2	3
и наконец	2	2
мы можем	6	9
в одном	4	2
раннем возрасте	2	2
с самого	8	7
бы в	5	3
но и	14	10
в другом	7	2
того чтобы	17	10
ребенка и	5	2
для того	15	8
потому что	6	22
и функции	4	2
в которой	3	7
в пользу	4	2
которых мы	2	2
он должен	2	4
когда он	2	2
что ребенок	4	13
другом в	2	2
в его	14	3
бы сказать	2	2
не могли	2	5
и отношений	2	6
можно сказать	5	6
тем самым	5	8
ребенка с	2	2
мышление как	2	2
в своих	5	3
опыта и	2	3
же как	6	6
мы не	7	6
одной и	2	3
этого слова	4	2
особенности детской	2	2
ребенок не	4	3
детского развития	3	3
что именно	3	2
в сфере	3	12
мышлении ребенка	2	4
по самой	2	5
существующих в	2	2
все более	3	2
по отношению	7	10
вот почему	2	2
исследования и	6	3
иначе говоря	2	3
в зависимости	2	5
можно было	3	7
в своей	4	2
несмотря на	2	2
в свете	4	5
прежде всего	10	2
в высшей	4	2
в состоянии	2	4
но не	4	10
переходе от	2	5
если бы	5	7
для всех	4	2
независимо от	6	3
для него	2	6
именно в	6	4
что оно	3	7
что с	2	3
развития в	2	6
думается что	5	5
и возникает	2	2
на этом	2	4
первую очередь	3	3
представляет собой	11	3
между ними	2	7
и которое	3	3
детской мысли	13	11
возраста в	2	2
из того	5	5
развития научных	3	5
детского мышления	34	2
и той	2	3
как известно	3	7
в настоящей	4	2
вопрос о	7	5
если мы	2	2
друг с	4	5
тогда когда	3	6
его мысли	2	3
мы видим	4	7
между собой	5	9
в первом	2	4
я не	3	4
мы должны	5	3
для этого	5	2
к установлению	3	3
речи и	28	5
и более	5	2
в этих	2	2
то что	17	28
мы видели	2	8
что все	4	5
мышления на	2	3
в области	3	6
с другом	4	5
с этой	6	2
с его	4	3
заключается в	8	7
не только	16	16
том что	21	19
на этот	3	4
ступени развития	2	6
могут быть	3	5
мы могли	7	12
от того	6	10
а не	3	3
который мы	2	4
и на	8	5
все время	6	3
вместо того	2	2
речи как	8	2
и от	3	2
в нашем	2	4
в сущности	6	7
ключ к	2	2
сказать что	11	13
действительность в	2	2
к его	2	2
из этих	3	3
в новом	3	2
как на	4	3
речи в	14	2
которое мы	3	2
нами в	2	2
зависимости от	2	5
в процессе	8	9
в силу	6	17
научных понятий	2	40
развитии ребенка	2	2
того что	15	24
в отношении	10	10
этого факта	3	2
в чем	4	6
в своем	3	7
что эта	2	2
мышления как	5	2
то же	8	7
между отдельными	3	3
содержится в	2	5
мы начинаем	2	2
сих пор	4	3
в которых	3	2
всех тех	5	2
том же	2	5
быть выражена	2	2
до лет	8	2
так как	7	10
же точно	9	3
с ней	2	3
речи ребенка	9	2
относящихся к	2	3
за собой	2	3
возрасте и	4	2
при переходе	2	6
на то	5	4
как мы	5	10
на вопрос	2	2
все эти	4	2
как это	2	3
в значительной	2	2
в наших	3	4
в раннем	2	2
не в	4	4
может быть	14	13
отношений между	4	10
и все	5	5
в этой	7	5
школьном возрасте	4	8
и к	4	6
ко всем	3	4
на примере	2	3
что у	2	2
этом отношении	4	3
развития понятий	2	6
то время	5	6
как в	4	3
и обобщения	3	2
в развитии	12	24
как и	14	6
остается еще	2	2
один из	2	3
ясно что	2	4
понятий и	4	10
показали что	4	4
самом деле	3	2
и то	3	4
что мышление	2	3
с развитием	2	6
и других	3	7
целый ряд	4	4
скажем только	2	2
тому что	5	11
у школьника	3	3
по своей	5	3
значение слова	5	3
только что	4	2
в конце	2	2
пиаже как	5	3
сущности говоря	2	4
в основе	8	3
чем он	2	2
там где	2	7
и что	5	6
с другой	10	2
время как	4	5
