3gram	Vinokur_KulturaYazyka_partition_part2_wordlist_3gram	Vinokur_KulturaYazyka_partition_part3_wordlist_3gram
было бы привести	2	2
т п в	3	2
т п но	3	2
и в самом	4	2
для того чтобы	11	8
в отличие от	2	2
не говоря уже	2	2
в зависимости от	7	4
в свое время	2	2
на самом деле	3	2
т п а	2	2
дело не в	2	2
говоря уже о	2	2
карпинский и сосновский	2	2
т е на	2	2
только в том	2	2
в том что	8	10
не только в	3	4
в области языка	2	2
того или иного	3	2
то или иное	2	2
в самом деле	11	7
с точки зрения	16	8
в русском языке	2	9
и тем не	3	4
тем не менее	9	5
в газетной речи	2	4
в этом случае	4	2
в нашем смысле	2	2
с другой стороны	3	7
сплошь да рядом	2	2
можно было бы	10	9
то обстоятельство что	3	7
т п и	4	2
и т п	41	24
письменной речи в	2	2
и т д	8	14
в связи с	4	3
в том случае	4	2
не может быть	3	4
