2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_2gram
никогда не	8	9
в стиле	3	4
так же	8	2
к нему	14	5
со всею	2	3
для достоевского	4	3
к тому	5	4
себя как	2	3
во внутреннем	2	2
с этим	2	2
друг на	2	2
но на	4	2
герой не	2	2
и как	3	2
точки зрения	8	13
из подполья	36	2
в целом	5	2
в диалоге	5	3
как бы	27	22
а что	3	5
что в	7	4
уже не	2	3
и речь	2	2
тон и	2	5
в жизни	2	3
отличается от	2	2
этом смысле	4	2
его и	3	2
или как	2	4
лежит в	2	2
той же	2	3
к чужому	4	7
внутреннего диалога	15	5
в него	3	7
было бы	2	5
к самому	3	3
сам и	2	2
только на	4	3
таким образом	5	5
а в	5	5
ни одного	5	4
что я	15	6
достоевского в	3	4
оно должно	2	2
я для	2	4
отношению к	6	5
и слова	2	2
на него	7	3
мире достоевского	3	2
конечно не	2	2
к себе	17	7
в себе	6	5
только в	6	4
с оглядкой	3	4
отчего же	2	3
отношении к	7	2
вот как	3	4
и сам	5	7
знает что	3	2
или иной	2	3
мы увидим	2	5
внутренний диалог	11	2
и это	4	4
и его	16	8
и только	2	3
до конца	3	4
слово рассказчика	3	2
не может	19	18
он не	15	9
реплики и	2	2
знаю что	2	4
по себе	3	11
я сам	7	2
со всеми	2	3
а как	2	4
в них	2	4
со смердяковым	4	2
тем что	4	3
хотя и	3	5
у меня	6	5
о своей	2	3
же время	12	5
самим собою	9	5
слов в	3	2
в котором	3	6
слова в	7	12
среди других	2	2
в том	3	6
но в	16	10
говорили что	3	2
но он	3	4
все же	7	3
человек и	2	2
к одному	3	6
ни было	4	2
и ее	2	3
чужая реплика	3	2
двух реплик	2	2
в двойнике	8	2
что это	5	2
наконец в	3	3
я ведь	5	4
его в	4	3
так и	6	3
с точки	4	8
второй голос	5	11
в последнем	2	3
в форме	2	2
в одной	3	3
и в	34	43
в такой	3	2
другой стороны	3	3
все это	16	5
при этом	4	6
чужого слова	5	24
словом и	3	2
только так	2	2
и с	15	5
уже в	3	2
да и	4	5
но так	3	2
же и	2	4
что он	23	13
не знает	6	3
но для	3	3
в этом	16	13
должно быть	3	4
второго голоса	3	7
героя и	9	5
мы и	2	2
еще не	4	9
в то	12	7
т е	12	26
речь голядкина	2	3
как раз	4	4
в тоне	2	2
в самом	8	7
чужой голос	3	5
отличие от	2	4
в творчестве	3	2
его слова	3	2
сам знаю	3	3
конце концов	3	2
слово о	7	4
во всех	2	4
т п	6	9
не принимает	4	2
себе и	5	4
себе самому	18	4
и не	29	29
за пределы	2	3
слово не	2	8
тона и	2	2
в виде	4	3
слово с	6	5
и наконец	5	6
большинстве случаев	3	8
в одном	5	12
из его	4	2
в произведениях	2	3
в глаза	3	2
не как	3	6
героя но	2	2
с человеком	2	2
и без	2	2
бы в	3	5
но и	12	14
в другом	8	7
себя и	8	3
рассказа в	8	3
в каждом	3	11
слова и	10	12
на меня	4	2
двух голосов	5	5
не могу	3	2
когда он	2	3
к другому	20	5
в слове	5	5
с ними	6	2
еще более	2	2
в его	22	10
с ним	8	3
в той	2	5
во время	2	4
на друга	2	2
к третьему	2	2
диалога в	2	2
этого слова	7	2
как его	2	4
перебой голосов	2	4
по отношению	5	5
но этот	2	2
собою и	4	2
все его	2	2
а с	3	2
другого человека	5	4
в пределах	6	16
самим собой	6	3
далеко не	3	4
такой же	3	3
что такое	2	2
каждое слово	2	2
его собственного	2	2
достоевского нет	3	2
всего этого	2	2
в нем	19	12
в своей	3	4
м б	5	6
это не	5	3
переходит в	2	2
прежде всего	15	10
но это	4	4
но не	4	5
если бы	4	3
тот же	2	3
и т	8	13
для него	13	8
своему предмету	6	4
и так	5	2
у него	4	6
каждый из	2	2
слова мы	2	2
собственные слова	2	2
так чтобы	3	4
так сказать	2	6
так что	5	5
в большинстве	2	9
во всем	3	3
произведениях достоевского	2	4
лишь в	5	8
героя в	5	3
и для	8	3
от чужого	3	2
же не	2	4
быть и	2	2
рассказ в	2	4
вопрос о	2	2
например в	2	2
он и	5	3
слова о	4	2
чужой реплики	2	2
внутреннем диалоге	3	2
себе как	2	2
по своему	3	2
друг с	2	4
голядкина с	2	6
даже в	5	3
внутренней речи	4	2
о себе	18	7
я не	7	4
ивана карамазова	3	2
что не	7	2
для этого	3	2
что же	8	7
как он	3	2
то что	11	7
и мысли	2	2
с другом	2	4
рядом с	4	5
он говорил	4	2
он сам	5	3
и свой	2	3
это слово	5	5
я вам	5	3
сливается с	3	2
с его	6	4
не только	10	11
он только	3	2
том что	3	2
в рассказ	3	2
той или	2	3
с другим	11	2
и даже	7	3
а не	9	7
и на	6	10
он есть	2	2
во всяком	5	2
героев достоевского	4	4
сама по	2	4
особенно в	2	2
для себя	6	2
в романах	3	3
ничего не	4	3
как слово	2	2
тому же	2	3
два голоса	3	2
ибо и	2	2
в сущности	11	9
сказать что	2	2
мы уже	6	3
между тем	3	3
слова как	2	3
