3gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_3gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_3gram
ii кн vii	8	12
в других местах	2	7
после того как	2	2
и м снегирев	9	7
о том что	4	4
и в других	4	4
е в аничков	5	5
с в максимов	3	8
и п калинский	5	4
в xix в	10	3
м снегирев сообщает	3	4
мы не можем	3	2
не что иное	2	2
в том что	15	18
вместе с тем	6	4
в и чичеров	13	2
и многие другие	2	2
на ивана купалу	3	6
в советское время	2	3
это показывает что	2	3
мы не будем	2	2
п калинский пишет	2	2
тем не менее	3	2
и п сахаров	5	7
в этом случае	5	6
шейн i ч	3	9
по этому поводу	2	2
сахаров ii кн	8	12
как уже указывалось	3	2
сообщает что в	2	6
все это показывает	2	3
и т д	9	5
д к зеленин	5	3
во многих случаях	2	2
а а макаренко	6	2
п в шейн	7	10
что иное как	2	2
в этот день	8	10
а н афанасьев	4	3
в другие сроки	3	3
на новый год	2	3
состоит в том	8	13
а а терещенко	3	4
