3gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_3gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_3gram
достаточно для того	2	2
издания сочинений пушкина	6	2
в и чернышев	66	10
то что в	2	2
на то что	4	2
во всяком случае	6	3
для того чтобы	10	5
о том что	11	11
словаре академии российской	3	2
так и в	4	2
но все же	3	2
за то что	3	2
как раз в	2	2
не в том	2	2
мере в какой	2	2
мне кажется что	2	2
речь идет о	2	3
работы пушкина над	2	3
в том что	17	16
в этом отношении	7	9
и в этом	3	2
в самом деле	5	2
вопрос о том	2	3
в пушкинское время	2	2
с точки зрения	8	2
тем не менее	2	2
в и чернышева	41	2
нового академического издания	2	2
в словаре академии	3	2
по этому поводу	2	2
том что в	3	2
с другой стороны	6	3
то обстоятельство что	2	4
дело в том	4	4
и т п	9	3
в борисе годунове	2	28
к борису годунову	2	3
и т д	21	6
бориса годунова в	2	3
в том смысле	2	2
так же как	3	3
до сих пор	7	5
том что пушкин	3	2
