3gram	Losev_DialektikaMifa_partition_part4_wordlist_3gram	Losev_DialektikaMifa_partition_part2_wordlist_3gram
есть не что	2	5
той или другой	3	3
и стало быть	4	4
сам по себе	3	2
не говоря уже	2	3
т е в	3	2
сама по себе	7	5
и все на	2	2
не есть специально	2	3
не есть религия	2	2
по крайней мере	9	7
субъекта и объекта	4	4
говоря уже о	2	3
та или иная	2	2
и в частности	2	2
не что иное	3	8
в том что	6	9
не есть ни	6	9
вовсе не в	3	2
ни в каком	3	4
от того что	2	2
и можно сказать	2	2
или по крайней	2	3
то или иное	4	3
д и т	2	2
она не есть	2	3
между мифологией и	5	2
в то же	3	6
с точки зрения	8	9
это значит что	8	7
иметь в виду	2	2
тем не менее	2	2
тем или другим	2	2
тех или других	2	3
все на свете	4	3
только тогда когда	4	4
имеется в виду	2	3
само по себе	2	4
т д и	2	3
и т д	15	15
не может быть	3	6
за пределы мира	2	2
что иное как	3	8
как и все	2	2
то же время	4	6
сознания и бытия	3	2
миф не есть	19	8
