2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part1_wordlist_2gram
между тем	2	2
мы имеем	13	19
связи с	4	6
относится к	2	2
не ходи	2	2
волшебного средства	2	2
никогда не	14	3
как будто	4	2
не совсем	3	3
так же	7	3
так часто	2	2
на смерть	2	3
в нем	2	9
видели что	3	4
запрет не	2	2
его в	6	3
так и	9	2
что она	5	5
в лесу	8	26
это не	7	6
в свете	2	5
прежде всего	10	3
но это	4	3
и он	3	2
со стороны	2	3
очень часто	3	3
и в	28	22
одна из	2	2
в брак	2	14
но не	5	7
в русской	2	3
в силу	5	2
вместе с	6	9
в избушке	2	3
в немецкой	2	3
если бы	8	6
стоит на	2	3
к тому	6	3
сказке в	3	4
в качестве	5	2
и т	25	16
этих случаях	2	7
утверждать что	3	2
сказка не	5	2
для нас	13	4
должен был	3	3
здесь не	4	3
другой стороны	5	7
еще одну	2	2
при этом	3	2
детей в	3	2
лесной избушки	2	2
живет в	2	5
связь с	4	6
сказке но	3	2
и потому	2	2
этот вопрос	7	2
в царство	7	4
и другие	4	4
с этим	4	8
и с	4	4
что герой	9	3
неи сказка	2	3
и как	2	3
сказка сохранила	9	2
даже не	2	2
того что	4	5
не менее	6	5
не все	4	6
не дает	2	2
что он	10	9
показывает что	3	5
так что	4	5
в своем	5	2
и эти	3	3
тем не	6	5
сказка здесь	2	6
здесь можно	2	6
с тем	4	2
вступает в	2	3
что они	5	8
дома не	2	3
в целом	2	3
дело с	2	2
то же	12	6
на этом	3	4
к этому	2	7
не вполне	2	6
представляет собой	4	3
сих пор	5	5
что в	12	15
во многих	2	2
уже не	3	7
в этом	8	17
представления о	3	2
некоторое время	2	3
его и	2	4
видим что	9	4
не всегда	8	4
в обряде	3	5
с одной	4	2
сказке есть	2	3
этого мотива	2	4
еще не	7	10
видно что	6	2
в то	3	2
т е	10	16
и для	4	2
они не	4	4
так как	6	7
в тех	2	2
очень много	3	2
было бы	7	3
в могилу	2	2
с ней	2	6
же не	3	2
ни дверей	2	2
с того	3	2
и др	7	2
таким образом	8	10
а в	7	6
эти материалы	2	2
случаи когда	3	4
сказка и	9	2
ее в	5	3
этот обряд	2	2
до сих	5	5
смерть и	2	2
на нее	2	3
иногда с	3	2
как мы	3	8
вопрос о	5	2
то и	2	6
а именно	4	4
ж ст	2	5
представляют собой	6	4
вовсе не	2	2
например в	5	2
из дома	6	2
в лес	8	12
с изучением	2	2
в некоторых	2	5
все эти	4	4
точно так	3	2
как это	3	4
что девушка	2	4
сказки в	3	4
увидим ниже	2	3
не в	9	4
но все	4	2
отношению к	3	2
мы видим	11	8
находится в	4	4
царство мертвых	5	3
всех этих	2	2
и не	9	12
даже в	4	2
может быть	25	11
как правило	4	2
в виде	2	2
связано с	2	4
мы знаем	4	2
большинстве случаев	4	2
в одном	5	2
о том	9	3
так в	4	6
в этой	6	5
сказкой не	2	2
при помощи	2	3
обряда посвящения	2	4
в связи	4	3
я не	3	3
мы должны	13	7
избушку и	3	3
не с	3	2
что здесь	5	6
только в	11	4
но и	10	12
не будем	5	3
в другом	3	2
что не	2	2
в дальнейшем	5	4
образом мы	2	2
там же	2	2
мы здесь	3	4
то время	3	2
сказать что	5	3
из них	3	7
в этих	7	11
выше мы	3	3
то мы	4	2
в доме	2	12
из дому	5	3
как в	2	2
что и	6	9
то что	9	7
как и	4	3
мы видели	2	13
т д	22	15
мы увидим	10	3
потому что	4	3
исторической действительности	7	2
один из	4	5
в особенности	2	2
и здесь	7	7
что яга	3	2
и пр	4	11
поставить вопрос	2	2
и его	3	4
ни один	6	2
герой попадает	3	3
не может	15	4
он не	2	5
русской сказке	2	2
в его	5	3
и она	2	3
одним из	2	4
не только	12	14
том что	7	8
а затем	2	3
во время	3	6
ко мне	2	2
могут быть	4	5
попадает в	5	11
именно так	2	2
тем что	3	4
а не	15	6
же как	2	2
у меня	3	5
раньше чем	4	3
и даже	4	2
должны были	2	3
в ней	7	2
их в	5	3
то это	3	2
никто не	2	2
на это	2	2
и на	4	4
есть только	3	2
можно видеть	2	2
ты не	5	2
неи здесь	2	2
мы сейчас	2	2
по отношению	3	2
в котором	3	2
немецкой сказке	2	3
или в	5	11
детей и	4	3
ничего не	2	6
но они	2	2
мы еще	3	3
одной стороны	4	2
половой зрелости	3	2
там где	4	7
превращается в	4	3
в том	9	9
об этой	2	2
в сказке	44	50
но в	8	10
здесь мы	7	5
что сказка	10	5
и что	10	2
с другой	6	7
и от	2	3
и вот	2	2
лес и	2	3
время как	3	2
однако это	3	3
в пределах	4	4
все же	10	5
в частности	2	5
