3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram
к частному и	2	2
истории умственного развития	2	2
спонтанных и научных	3	2
на то что	4	4
того же ребенка	3	2
обучения и развития	5	4
на высшую ступень	2	2
по сравнению с	14	3
для того чтобы	8	5
что научные понятия	4	6
ступень в развитии	4	3
в процессе обучения	7	4
между обучением и	5	2
одной и той	3	4
и то что	2	4
одного и того	4	5
и научных понятий	7	4
друг с другом	5	7
заключается в том	5	14
общего к частному	2	2
спонтанные понятия ребенка	3	2
умственного развития ребенка	2	6
и тем самым	5	4
частного к общему	2	2
мы могли бы	9	9
у одного и	2	2
как мы видели	4	2
в том что	19	31
не могут быть	2	2
вместе с тем	2	3
в основе этого	2	2
развитие научных понятий	6	5
в этом отношении	3	7
не только не	2	5
в первую очередь	3	4
с точки зрения	10	11
с тем что	2	3
развития житейских понятий	2	3
и той же	3	4
то же самое	6	7
обучением и развитием	5	2
в этом случае	2	3
бы сказать что	2	3
в этой области	2	2
категория причинных отношений	2	2
тех и других	5	3
особенности детской мысли	2	3
и того же	4	5
с другой стороны	2	8
развитии научных понятий	3	2
можно было бы	5	5
в мышлении ребенка	2	6
житейских и научных	6	2
научных понятий и	2	2
ступени в развитии	2	5
научных и житейских	5	2
в развитии понятий	5	2
в школьном возрасте	8	5
и других понятий	4	2
в связи с	2	3
в том смысле	2	2
в этом смысле	2	8
так же как	6	5
научных понятий в	5	5
развития научных понятий	5	8
понятий в школьном	2	2
могли бы сказать	2	2
мы видим в	2	2
мы видели что	3	2
состоит в том	2	3
научные понятия ребенка	2	2
