2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram
прав когда	5	2
связи с	2	2
о смерти	5	5
эти три	2	2
понятно что	2	3
никогда не	9	5
как все	2	4
так же	13	13
утверждает что	2	4
пор пока	2	2
со стороны	3	2
и та	2	2
к тому	8	12
перед нами	2	6
для нас	3	7
времени и	3	2
о которых	2	2
в результате	4	2
с этим	2	5
и как	7	5
самого начала	3	5
с совершенно	2	4
точки зрения	7	6
едва ли	2	2
же самое	5	6
говорит что	6	10
что они	5	6
в целом	5	5
как бы	19	25
и говорит	3	3
что в	24	21
совершенно верно	4	6
и уже	3	4
никак не	6	6
той же	3	4
и о	3	4
заставляет нас	3	2
было бы	5	12
к самому	2	2
таким образом	20	13
а в	4	4
что если	6	3
или вернее	2	2
ни одного	2	2
жизни и	6	4
у нас	4	4
для нашей	2	2
что эти	2	2
как она	4	10
и другое	2	2
у шекспира	6	2
все то	2	12
образом что	3	2
мы никогда	2	3
напротив того	2	2
легко показать	3	3
аффективное противоречие	2	2
характера и	2	8
по существу	2	2
это делает	2	2
нам кажется	2	2
в себе	5	6
только в	5	4
в искусстве	6	2
мы увидим	9	2
и это	8	5
говорит о	4	4
что самое	2	5
и его	6	5
и только	3	7
до конца	2	7
не может	9	10
он не	3	11
могли бы	4	2
и если	6	9
по себе	7	9
как только	4	2
а как	2	2
в них	4	2
дело и	3	2
тем что	6	3
в котором	2	2
в том	27	21
но в	5	2
гамлета и	2	8
но он	3	6
все же	7	5
в частности	4	4
мы имеем	8	2
как будто	6	8
что это	8	13
действия и	4	2
в словах	2	2
так и	3	3
об этом	3	4
из этого	2	5
с точки	2	4
в ее	3	2
в одной	2	2
и в	30	33
стороны он	2	2
не можем	4	3
вместе с	12	8
исходя из	2	4
должен был	4	3
другой стороны	5	2
все это	2	13
при этом	8	2
верно что	3	2
знаем что	2	4
этот вопрос	4	4
и с	2	2
уже в	6	2
что мы	11	6
фабулы и	2	5
что он	17	20
с тем	8	4
все события	2	3
в этом	14	28
должно быть	2	3
мы получим	2	3
героя и	7	2
видим что	3	2
этот закон	2	2
в их	3	2
но мы	2	2
в то	2	3
как раз	13	9
в самом	14	12
и до	2	3
это и	2	5
будем иметь	2	2
до сих	5	3
конце концов	2	3
во всех	2	2
т п	3	3
бы по	2	2
так например	3	4
себе и	2	2
и не	6	13
показать что	12	7
и наконец	3	2
в трагедии	15	10
мы можем	7	5
в одном	2	3
на самом	2	6
с самого	3	5
совершенно не	6	4
трагедии в	3	2
что касается	2	2
и когда	9	2
но и	6	3
того чтобы	20	22
двух противоположных	6	2
зрителя и	2	2
при таком	3	3
казалось бы	4	5
для того	20	23
материала и	5	2
увидим что	9	3
потому что	23	24
в которой	3	4
только не	5	2
тех пор	2	2
когда он	5	7
в его	4	10
бы сказать	2	2
в той	3	3
можно сказать	2	2
в каком	3	8
в своих	5	3
которые конечно	2	2
мы все	6	3
же как	2	3
мы не	3	5
одной и	2	2
указывает на	4	3
из которых	4	3
в ней	4	6
что именно	5	3
мы сейчас	3	2
и совершенно	4	5
том чтобы	2	4
для чего	2	4
это в	3	4
а с	5	2
и почему	2	2
художественной формы	3	4
с такой	4	2
в нем	7	7
можно было	3	4
что она	6	10
в своей	4	4
что ни	3	2
это не	3	6
мнение толстого	2	2
прежде всего	4	2
на сцене	2	3
одна из	3	4
но не	7	3
и ясно	2	2
то есть	13	13
если бы	11	10
тот же	3	3
и т	7	6
и так	2	4
что оно	6	3
именно в	6	2
у него	3	6
такое понимание	2	2
так что	3	7
в таком	3	4
дело с	5	3
во всем	2	2
на этом	6	3
в нее	2	2
с одной	12	3
самого гамлета	2	3
совершенно ясно	7	8
что шекспир	4	7
стоит только	5	2
это совершенно	2	3
и для	6	3
понять как	2	2
и той	2	2
вопрос о	3	2
нет ни	2	3
если мы	16	12
друг с	3	4
мы видим	8	6
что поэт	3	2
полагает что	3	5
в основу	4	3
мы должны	3	6
не является	2	2
для этого	9	8
что трагедия	3	5
как он	2	5
то что	37	44
события в	3	3
что все	6	11
с другом	3	4
очень легко	3	4
и здесь	6	3
был бы	5	3
с этой	2	4
в двух	5	4
как говорит	4	2
с его	2	2
заключается в	8	5
не только	16	7
том что	21	22
до тех	2	2
на этот	3	3
мы могли	4	2
а не	8	6
бы мы	3	3
то это	4	3
и на	3	5
с но	2	3
есть только	2	2
с той	2	2
он говорит	3	3
ничего не	2	2
все время	20	24
показать как	4	2
в сущности	12	6
и эта	2	2
сказать что	9	13
мы уже	6	5
сам по	3	2
из этих	3	2
сейчас же	8	16
как на	11	6
нам придется	2	3
и он	2	3
и потому	5	2
что ему	2	2
по поводу	3	4
и есть	5	4
того что	8	4
сводится к	5	2
в своем	6	7
что при	3	2
что эта	4	6
сами по	2	3
была бы	3	2
то же	7	9
к этому	3	4
сих пор	5	3
в которых	2	3
событий в	2	3
так как	9	12
и мы	16	15
меньше всего	3	2
же точно	6	7
просто и	2	2
на то	17	10
самое важное	3	2
вовсе не	3	5
как мы	5	4
этой трагедии	4	3
все эти	2	6
как это	7	14
внимание на	4	2
он видит	2	3
обратиться к	5	3
не в	8	2
но все	2	2
может быть	11	22
трагедии и	2	6
всякий раз	2	6
ни в	3	3
с таким	2	2
мы знаем	2	2
и сейчас	3	3
и все	4	12
о том	10	20
в этой	5	9
и к	4	2
на примере	4	2
что у	3	4
над ним	2	2
из них	2	4
когда мы	6	6
кажется нам	6	3
что и	3	3
как в	3	3
как и	6	5
т д	3	2
один из	5	2
ясно что	6	5
самом деле	8	12
в нашей	2	2
и именно	4	2
и то	9	2
в виду	4	2
и трагедии	2	2
целый ряд	3	5
в рассказе	2	8
тому что	8	6
только что	4	15
событий и	2	3
в конце	4	8
хотя бы	3	2
сущности говоря	8	2
в основе	7	3
одной стороны	12	3
бы его	2	3
и что	23	25
с другой	9	2
и вот	2	6
время как	2	2
