3gram	Vygotskiy_Psychologia_partition_part2_wordlist_3gram	Vygotskiy_Psychologia_partition_part3_wordlist_3gram
и в самом	10	4
на то что	12	6
в свою очередь	2	2
во всяком случае	2	2
для того чтобы	8	13
о том что	3	4
в сущности говоря	7	4
и то что	3	2
поэтической и прозаической	3	2
на самом деле	2	5
заключается в том	6	10
не в том	2	2
то время как	2	2
мы видим что	7	2
только в том	2	4
в том что	11	17
к тому что	2	2
что в этой	2	2
в то время	2	3
все более и	2	2
в самом деле	18	11
с точки зрения	9	10
указывает на то	3	2
то же самое	8	6
в данном случае	2	4
с другой стороны	5	2
и т п	5	8
и т д	4	2
более и более	2	2
совершенно ясно что	5	6
до сих пор	5	5
