3gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram
взрослого человека и	2	2
в развитии мышления	6	6
на то что	3	3
в свою очередь	3	2
во всяком случае	3	4
по сравнению с	5	3
для того чтобы	15	7
в собственном смысле	5	6
о том что	6	3
в зависимости от	2	5
к выводу что	4	2
одной и той	2	2
смысле этого слова	3	4
ни в какой	2	4
могли бы сказать	2	3
же как и	4	4
друг с другом	4	5
заключается в том	6	7
то время как	4	4
внутренней речи и	4	2
проблема мышления и	2	2
и в отношении	3	2
в детском возрасте	9	2
что перед нами	2	3
по отношению к	7	2
мышление и речь	2	3
мы могли бы	5	7
речь и мышление	2	2
в том что	15	17
в то время	5	4
вместе с тем	5	10
мышления и речи	31	18
в этом отношении	4	3
речи и мышления	9	2
с самого начала	8	6
является то что	2	4
и той же	2	2
как уже сказано	6	5
независимо от того	2	3
так же точно	9	3
бы сказать что	2	3
в известном смысле	2	2
с другой стороны	9	3
собственном смысле этого	3	4
в высшей степени	4	6
можно было бы	3	5
а с другой	2	3
вопрос об отношении	5	2
таким образом что	3	2
на первый план	2	2
мы не станем	4	4
с одной стороны	8	5
не может быть	5	2
в пользу того	3	2
так же как	5	6
развития детского мышления	2	2
и речи в	3	2
