2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram
прав когда	5	3
он был	2	3
с такой	4	5
из этих	3	3
которую мы	2	4
как все	2	2
никогда не	9	4
как будто	6	4
так же	13	2
что это	8	10
в нем	7	4
как на	11	3
что она	6	16
действия и	4	2
из этого	2	8
в своей	4	5
несмотря на	5	5
с точки	2	9
мы нашли	3	2
в ее	3	7
которое мы	3	3
видим в	2	2
чувства которые	2	2
со стороны	3	2
в данном	3	2
в одной	2	2
и та	2	2
и в	30	38
действующее лицо	2	2
одна из	3	4
в силу	3	2
не можем	4	4
вместе с	12	5
то есть	13	15
оба эти	2	3
увидеть что	2	7
если бы	11	14
к тому	8	6
в качестве	2	2
тот же	3	3
данном случае	3	2
перед нами	2	8
и т	7	14
для него	3	2
на деле	8	4
одно и	3	3
для нас	3	8
должен был	4	2
что оно	6	2
в свою	3	4
другой стороны	5	5
все это	2	3
при этом	8	4
противоречие с	2	2
у него	3	4
по самому	2	2
совсем не	2	3
о которых	2	9
о котором	6	5
и другие	3	2
два совершенно	2	4
с этим	2	8
мы хотим	2	3
по его	3	3
и как	7	8
его мнению	2	2
самого начала	3	6
того что	8	4
слов и	2	2
едва ли	2	3
точки зрения	7	16
с здесь	3	2
отношения к	2	2
же самое	5	10
того как	2	3
чувства и	5	2
что он	17	11
с и	5	6
показывает что	3	2
что с	6	4
говорит что	6	8
так что	3	8
в своем	6	5
что эта	4	4
чтобы увидеть	2	5
была бы	3	2
с теми	3	3
самом деле	8	21
с тем	8	8
что они	5	4
в таком	3	3
то же	7	10
в целом	5	4
на этом	6	5
к этому	3	3
мы говорили	4	3
как бы	19	14
басни и	2	13
сих пор	5	5
что в	24	20
в которых	2	6
в этом	14	13
в нее	2	2
образом и	2	2
что всякое	4	2
видим что	3	8
противоречие которое	3	3
того же	2	3
от этой	2	2
должна быть	2	5
и уже	3	2
по мнению	6	2
с одной	12	6
из двух	3	3
это есть	3	2
совершенно ясно	7	13
никак не	6	7
и дальше	2	2
два плана	2	7
стоит только	5	3
когда она	3	3
он в	2	2
той же	3	2
и о	3	3
но мы	2	2
в то	2	3
и для	6	4
так как	9	6
и мы	16	13
как раз	13	8
и другими	2	2
заставляет нас	3	2
же точно	6	2
было бы	5	12
к самому	2	2
в самом	14	25
следует понимать	2	2
в нас	13	4
таким образом	20	12
и той	2	2
смысл этого	3	3
должен быть	2	3
а в	4	7
что если	6	4
в лучшем	3	2
или вернее	2	2
до сих	5	6
в басне	2	37
на то	17	16
очевидно что	2	2
вовсе не	3	8
как мы	5	7
находятся в	3	2
представляют собой	2	2
все эти	2	4
не могут	3	2
как это	7	6
внимание на	4	2
он видит	2	2
обратиться к	5	4
во всех	2	4
т п	3	5
если мы	16	6
не в	8	12
это только	3	3
так например	3	2
но только	3	8
у нас	4	2
что эти	2	4
мы видим	8	12
мы найдем	4	2
и не	6	10
что поэт	3	2
полагает что	3	3
и другое	2	4
между собой	2	2
может быть	11	19
всякий раз	2	3
ни в	3	3
показать что	12	7
для читателя	2	2
и наконец	3	2
именно это	4	3
и все	4	10
мы можем	7	7
состоит в	3	3
все то	2	7
в одном	2	8
на самом	2	2
о том	10	6
напротив того	2	6
легко показать	3	6
аффективное противоречие	2	3
по существу	2	2
в совершенно	6	2
в этой	5	13
с самого	3	6
совершенно не	6	5
и к	4	3
в себе	5	4
на примере	4	2
что у	3	7
что здесь	3	2
только в	5	4
бы в	5	3
и когда	9	5
но и	6	5
в другом	3	5
уже давно	4	2
для этого	9	2
образом мы	3	4
имеет место	3	2
того чтобы	20	9
двух противоположных	6	5
что когда	2	2
из них	2	6
при таком	3	2
когда мы	6	2
ясно что	6	6
в этих	3	2
что и	3	4
казалось бы	4	5
для того	20	8
как в	3	4
то что	37	35
как и	6	8
увидим что	9	9
т д	3	4
мы увидим	9	12
потому что	23	14
что все	6	3
в течение	2	4
в которой	3	5
один из	5	6
и это	8	8
которых мы	4	6
очень легко	3	4
говорит он	2	2
говорит о	4	2
и здесь	6	6
был бы	5	3
с этой	2	2
и его	6	6
и только	3	3
когда он	5	4
до конца	2	2
в двух	5	9
это будет	2	2
к которым	2	5
не может	9	7
он не	3	6
наше внимание	2	3
по преимуществу	2	2
могли бы	4	5
в его	4	5
и то	9	8
том и	2	2
не могли	4	4
и если	6	6
в той	3	5
заключается в	8	7
не только	16	12
том что	21	14
мы уже	6	7
как только	4	3
что по	2	3
двух планах	3	5
и тем	6	3
в них	4	3
в своих	5	4
мы все	6	4
мы могли	4	4
действующих лиц	7	5
эти два	3	3
тем что	6	3
а не	8	7
в виду	4	4
мы не	3	5
одной и	2	2
указывает на	4	6
из которых	4	4
в ней	4	15
и даже	2	4
то это	4	2
целый ряд	3	2
и на	3	6
что именно	5	2
с но	2	2
есть только	2	2
же в	2	2
тому что	8	6
с той	2	4
и следовательно	2	2
только что	4	2
в котором	2	6
и совершенно	4	4
в конце	4	2
он говорит	3	6
или в	6	5
хотя бы	3	2
когда в	2	4
ничего не	2	2
бы для	2	2
сущности говоря	8	7
все время	20	30
в основе	7	3
лучшем случае	3	2
эстетической реакции	17	2
одной стороны	12	5
там где	4	6
в том	27	25
а с	5	2
что даже	2	2
совершенно прав	7	2
это же	2	2
но в	5	3
и что	23	18
внутреннее противоречие	2	2
и между	3	4
по рецепту	4	2
с другой	9	7
и вот	2	2
но он	3	2
в сущности	12	10
из критиков	2	3
время как	2	4
сказать что	9	4
все же	7	8
один план	2	2
