2gram	Berdyaev_MirosozercanieDostoevskogo_partition_part2_wordlist_2gram	Berdyaev_MirosozercanieDostoevskogo_partition_part1_wordlist_2gram
бунт против	4	3
не так	3	3
к чему	2	4
никогда не	14	18
путь человека	3	3
к нему	7	2
свободу и	4	5
русской души	3	6
для достоевского	5	8
человеческого своеволия	2	5
человеческой личности	4	7
к тому	3	5
до глубины	11	8
человеческого духа	26	5
– не	5	3
возврата к	2	3
точки зрения	4	2
отношения к	4	2
духа достоевский	2	2
из подполья	10	2
великого инквизитора	5	4
достоевский исследует	5	5
человеческой свободы	9	3
есть и	3	3
момент в	2	3
в своеволии	2	5
как бы	2	8
что в	10	4
уже не	4	4
и там	4	6
в жизни	3	4
человека его	3	2
достоевского –	9	4
есть путь	4	2
он в	2	3
свобода и	6	2
достоевского о	2	3
а в	4	2
и страдание	2	3
нет в	4	4
для человека	3	3
высшей степени	2	3
это –	16	22
в более	2	2
человека не	4	4
свою свободу	2	5
жизни и	2	6
достоевского в	9	2
человек должен	6	2
у нас	5	11
отношению к	2	2
бога и	10	5
и зла	5	6
с собой	3	2
в себе	7	10
только в	6	3
великом инквизиторе	5	2
отношении к	2	3
от этого	2	2
не имеет	3	4
сам не	2	2
мы увидим	3	2
должно привести	2	2
и это	12	5
достоевский в	5	3
и его	9	5
до конца	14	4
подобие божие	2	2
не может	28	15
самого себя	2	4
он не	24	10
человеческой природы	20	7
и она	2	3
лишь момент	2	2
не есть	9	13
человеческая свобода	3	2
в них	4	3
к преступлению	4	5
тем что	4	3
есть уже	4	4
дневнике писателя	2	2
достоевским в	2	3
этом пути	2	2
человека он	4	2
добро и	3	2
и ивана	2	3
была еще	2	2
если он	5	2
не существует	2	3
людей и	2	3
в том	6	3
но в	7	10
но он	9	11
человек и	6	2
он был	14	9
человек –	3	6
как будто	2	2
его в	3	3
есть религия	2	4
и в	28	46
вместе с	6	2
она не	4	8
жизни в	2	3
путь страдания	4	4
когда человек	3	2
к гибели	2	4
чтобы не	2	3
и с	3	3
уже в	4	2
есть зло	2	2
все что	2	4
что он	10	7
не знает	4	9
также и	2	4
и те	2	2
место в	2	2
без свободы	6	2
своего духа	2	2
не хотел	3	2
к ней	4	2
в этом	20	20
должно быть	3	2
