3gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram
того что нам	2	2
по сравнению с	5	5
для того чтобы	14	10
ступень в развитии	2	3
к тому чтобы	4	2
о том что	4	4
то что он	2	2
в отличие от	2	3
сама по себе	4	2
в зависимости от	2	6
что нам известно	2	4
друг с другом	7	2
в другом месте	4	2
заключается в том	5	7
в теории пиаже	2	5
в процессе развития	3	5
на этот вопрос	4	5
на всем протяжении	2	2
мы могли бы	6	4
с помощью которого	2	2
по отношению к	12	5
и т.д и	2	2
в том что	11	21
в этом отношении	5	3
подобно тому как	4	2
в этой теории	2	2
в самом деле	2	4
вопрос о том	3	2
что мышление ребенка	2	2
на вопрос о	3	2
с точки зрения	9	18
с таким же	3	2
из того что	4	4
является то что	2	2
то же самое	4	2
не отдает себе	2	2
том что в	2	2
в высшей степени	2	7
а с другой	2	4
можно было бы	3	5
мы не станем	2	2
лежит в основе	2	3
что он не	2	2
по своей психологической	2	3
с одной стороны	3	7
само по себе	2	2
потому что он	5	2
в своем развитии	4	2
друг от друга	4	2
не может быть	3	6
же самое что	2	2
ту мысль что	2	5
состоит в том	3	3
