3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram
в эгоцентрической речи	2	4
мы говорили выше	2	2
в свою очередь	3	2
для того чтобы	15	18
в сущности говоря	2	2
пороге школьного возраста	2	4
по своей структуре	2	2
коэффициент эгоцентрической речи	4	3
заключается в том	6	4
то время как	4	2
на всем протяжении	2	4
об эгоцентрической речи	3	2
учение о мышлении	2	2
в какой мере	2	2
о мышлении и	7	9
из того что	5	2
такой же мере	3	3
в известном смысле	2	2
том что в	2	2
не может быть	5	4
развития научных понятий	2	2
могли бы сказать	2	2
и то же	2	3
при переходе от	2	3
эгоцентрическую речь ребенка	2	2
в собственном смысле	5	3
о том что	6	4
мысль и слово	2	3
благодаря тому что	2	2
друг с другом	4	2
смысловой стороны речи	2	7
и тем самым	3	4
между мыслью и	4	5
по своей природе	2	4
в то время	5	2
вместе с тем	5	4
мышлении и речи	7	9
бы сказать что	2	2
друг от друга	3	2
речь для себя	2	13
привести нас к	3	2
одно и то	2	3
эгоцентрической речи ребенка	6	5
эгоцентрической речи в	7	8
в развитии мышления	6	2
по сравнению с	5	7
детского мышления и	8	2
смысле этого слова	3	3
в такой же	3	3
же как и	4	2
что в ходе	2	3
именно в этом	2	2
по отношению к	7	5
мышление и речь	2	2
речь и мышление	2	2
в том что	15	13
приводит к тому	2	2
в этом отношении	4	3
что эгоцентрическая речь	10	8
в самом деле	2	4
с точки зрения	18	21
с самого начала	8	7
и той же	2	2
в данном случае	2	5
можно сказать что	4	3
звуковой стороны речи	3	4
так же как	5	7
эгоцентрическая речь ребенка	7	5
на то что	3	4
к выводу что	4	2
одной и той	2	2
на пороге школьного	2	4
ни в какой	2	2
мышлением и речью	2	2
внутренней речи и	4	4
мыслью и словом	4	5
мы могли бы	5	4
прежде всего в	2	2
к тому что	3	6
и речи но	2	2
мышления и речи	31	6
том что он	2	2
то же самое	3	5
так же точно	9	3
собственном смысле этого	3	3
мысли к слову	6	11
между мышлением и	2	2
с одной стороны	8	5
учения о мышлении	3	3
по мере развития	3	4
до сих пор	4	3
и речи в	3	2
