3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part1_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part7_wordlist_3gram
в русской сказке	5	2
материалы показывают что	2	2
с того что	3	3
то что в	3	2
таким образом мы	2	2
о том что	5	3
что сказка сохранила	2	3
но все же	2	3
на первый взгляд	4	2
то время как	2	3
мы не можем	2	2
на этот вопрос	2	2
мы видим что	3	8
в этих случаях	10	2
в том что	4	4
здесь мы имеем	2	2
в то время	2	3
что в сказке	2	2
тем не менее	4	6
начинается с того	3	2
но и в	2	2
с другой стороны	8	5
с одной стороны	4	4
и т д	16	22
мы увидим что	2	5
точно так же	2	3
за тридевять земель	5	2
не может быть	3	7
так же как	4	2
до сих пор	2	5
