2gram	Ircho_Komedia_partition_part2_wordlist_2gram	Ircho_Komedia_partition_part1_wordlist_2gram
между тем	5	4
в действительности	2	2
он был	2	2
и ее	3	2
ни было	2	2
при всем	2	3
всего в	3	2
демократии в	3	2
из комедии	6	5
наряду с	2	6
как будто	2	4
каждой комедии	2	3
в нем	4	6
в афины	4	3
его в	3	4
к нему	2	3
так и	5	12
речь идет	3	3
после того	3	2
прежде всего	5	4
комедии и	3	4
со стороны	2	2
на сцене	3	2
из комедий	2	3
и в	22	26
одна из	2	2
но не	2	3
по которым	4	2
в силу	2	2
вместе с	2	9
для всех	2	3
х годов	3	2
комедии в	7	6
тот же	3	2
к тому	6	12
в качестве	4	5
должна была	2	2
iv в	5	34
независимо от	2	5
и т	9	2
аттической комедии	9	15
еще в	5	4
это время	2	3
комедии от	2	2
в принципе	2	2
отношение к	3	2
под именем	2	2
н э	3	7
все это	5	3
у него	3	4
вслед за	2	2
у других	2	2
для комедии	2	2
комедии можно	2	2
современного читателя	2	2
афинах в	2	3
по поводу	4	3
и с	3	5
однако в	3	2
уже в	5	4
да и	3	3
перед лицом	3	2
этой комедии	5	2
даже не	2	3
едва ли	7	14
точки зрения	4	4
того как	3	3
не менее	3	4
в в	4	4
до начала	2	3
фр и	8	2
что он	6	5
на сцену	2	3
столь же	2	9
судя по	2	4
афинской демократии	9	2
в целом	3	4
место в	3	4
то же	6	3
на этом	2	2
к этому	4	5
и хотя	2	2
у аристофана	6	2
в период	2	3
первую очередь	3	3
древней комедии	17	8
на протяжении	4	10
что в	6	9
в v	2	5
сих пор	2	2
в лисистрате	3	2
в этом	3	10
не следует	2	2
бы то	2	2
того же	2	3
с одной	3	2
здесь в	3	3
художественного мышления	2	2
нового времени	5	2
в их	4	3
еще не	2	6
в то	10	6
в древней	2	4
так как	4	4
в комедиях	9	5
и у	3	2
в тех	3	3
по имени	3	4
в первую	2	3
пелопоннесской войны	13	8
было бы	2	8
на ленеях	5	2
войны и	5	3
на основании	3	5
в самом	2	4
в афинах	21	10
отличие от	2	2
таким образом	8	6
а в	6	3
как известно	2	2
до сих	2	2
народного фарса	2	2
как мы	4	4
вопрос о	3	3
вовсе не	2	2
v в	13	14
в других	2	2
как это	3	4
из числа	3	3
в комедии	22	19
т п	5	2
по своему	3	2
не в	6	2
афин с	2	3
со своей	2	3
г и	3	5
отношению к	3	3
и еще	3	2
мы найдем	2	3
и не	8	14
может быть	9	11
даже в	3	2
ни в	6	5
как правило	3	3
по адресу	14	4
войны в	2	2
мы знаем	2	3
внешней политики	2	2
и все	3	2
мы можем	4	3
в одном	8	2
в греции	4	2
из его	4	2
так в	4	2
как видно	2	2
и во	2	2
о том	8	6
в этой	7	3
cgf i	5	2
не удалось	3	2
с участием	3	2
что у	2	4
что касается	2	3
опять же	2	5
только в	3	4
но и	11	10
в истории	5	5
видно из	2	2
древней аттической	6	2
с достаточной	2	2
до нас	5	4
то время	5	3
из них	10	7
и сам	3	3
то ни	2	2
в доме	2	6
как в	5	3
что и	4	7
и особенно	4	3
идет о	3	2
то что	2	6
как и	9	4
потому что	5	6
в течение	3	2
в которой	6	5
один из	5	5
народном собрании	5	2
комедии с	4	3
и здесь	2	6
в народном	5	2
ясно что	4	8
и его	8	12
не может	2	3
он не	3	2
по содержанию	3	2
в г	11	17
в его	5	4
в образе	3	3
говоря уже	2	2
тех же	2	3
античной комедии	2	2
хоть и	2	5
не только	10	7
том что	12	9
в демах	4	2
в до	2	2
в ахарнянах	2	4
афин в	2	2
ли не	4	7
в следующем	2	2
что по	2	2
одной из	3	4
во время	5	6
на себя	2	7
не говоря	2	2
в них	3	4
в уже	2	2
действующих лиц	4	5
в как	2	2
тем что	4	3
хотя и	3	4
мы не	3	2
из которых	2	3
же время	4	3
и на	3	7
во всяком	2	2
же в	4	4
после смерти	3	3
дошедших до	3	2
по отношению	3	3
в котором	4	3
аттическая комедия	3	2
в конце	6	2
или в	2	3
в начале	3	4
тому же	6	11
всяком случае	2	2
одной стороны	3	2
в том	11	11
уже о	2	2
но в	4	3
с другой	5	2
комедии на	2	4
время как	4	2
демократического строя	3	2
все же	3	4
комедии не	3	3
также в	2	2
в частности	3	4
