3gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part1_wordlist_3gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part2_wordlist_3gram
тому что он	2	2
о том что	7	9
с анной сергеевной	2	2
первой половины рассказа	2	2
не случайно в	2	2
по отношению к	7	8
только в том	2	2
как и в	3	3
в том что	11	6
к тому что	4	4
не только в	2	2
того или иного	2	2
в самом деле	3	4
о том как	2	2
в то же	4	8
с точки зрения	2	3
тем не менее	3	3
в этой связи	2	4
том что в	3	2
в финале рассказа	2	3
можно было бы	2	4
и т п	2	8
и т д	2	3
не может быть	3	2
на наш взгляд	4	2
в конечном счете	3	2
то же время	4	8
до сих пор	2	2
дама с собачкой	2	3
