2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part2_wordlist_2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part1_wordlist_2gram
жизни на	2	2
произведения не	2	2
между тем	8	8
всего лишь	4	3
случайно в	2	2
никогда не	6	5
как будто	4	4
характер и	2	2
в художественном	2	4
в нем	3	3
можно было	5	3
в ответ	2	3
его в	3	2
так и	13	8
об этом	5	7
несмотря на	4	3
в своей	10	6
что она	4	7
с точки	3	2
это не	7	6
прежде всего	11	3
в ее	3	18
говорить о	3	2
и он	5	3
со стороны	3	3
и в	14	28
одна из	2	2
но не	3	4
не случайно	7	10
того или	2	2
если бы	3	6
если в	2	2
к тому	7	7
в качестве	9	4
она не	4	5
и т	11	4
перед нами	5	11
для него	10	5
жизни в	6	7
в человеке	2	3
этой связи	4	2
здесь не	2	2
именно в	7	2
все это	2	3
то в	4	4
при этом	12	11
у него	9	5
из нас	3	2
мысли о	2	2
своего я	3	3
с собачкой	8	9
человеческих отношений	5	2
и с	4	6
однако в	2	2
чеховского рассказа	9	9
да и	2	5
едва ли	3	3
точки зрения	5	2
не менее	5	5
себя в	4	8
что он	9	8
в своем	4	5
столь же	4	3
тем не	4	4
для нее	2	4
чеховского творчества	4	2
то же	9	6
зрелого чеховского	2	3
на этом	3	2
а также	3	2
как бы	7	5
личной тайне	2	4
человек в	2	3
у чехова	13	9
сих пор	2	2
что в	6	5
уже не	7	10
концепции личности	5	2
в этом	11	13
в ялте	6	4
пока еще	2	3
чехова в	3	2
героя и	5	3
однако и	3	2
лишь в	3	2
представляется нам	2	2
в это	2	3
или иного	2	2
для чехова	4	4
художественного мышления	6	2
а п	10	4
той же	2	2
в духе	4	2
его жизни	2	5
в мире	3	7
и о	4	4
еще не	7	3
внутренней жизни	2	4
в то	8	6
т е	4	2
и для	3	2
гурова в	2	2
как раз	4	4
человеческого бытия	3	2
личности в	7	3
было бы	6	3
со своим	2	3
в самом	4	5
во второй	5	2
и ему	2	3
с того	2	2
духовного самоопределения	3	2
только на	2	5
чеховской художественности	6	6
а в	7	6
на наш	2	4
в чеховском	3	6
человеческой жизни	4	6
своего рода	7	16
до сих	2	2
тогда как	7	7
и читателя	4	3
как мы	3	2
что я	2	2
то и	3	4
чеховского героя	2	3
жизни и	5	6
было видно	2	2
[...] не	5	2
не столько	2	2
внимание на	2	3
в глазах	6	6
о нем	3	2
т п	8	2
не в	7	13
отношению к	8	7
и ей	2	3
т с	4	2
и не	2	18
человека в	6	4
для других	2	3
может быть	5	8
финале рассказа	3	2
художественности в	2	2
на него	2	3
автора и	2	2
мы знаем	2	2
и все	4	7
к себе	5	3
состоит в	2	7
о том	12	12
в этой	8	5
мы читаем	2	2
я и	2	6
и к	4	2
что у	3	3
в себе	11	9
наш взгляд	2	4
и об	2	2
она в	3	2
только в	5	4
себя и	2	2
в другом	2	2
но и	5	9
что не	2	2
того чтобы	3	4
что же	2	2
рассказа в	6	4
анну сергеевну	3	2
как он	2	3
из них	4	2
у нее	2	10
дама с	3	2
в этих	5	3
казалось бы	7	6
как в	8	5
чехова как	3	3
строя художественности	2	4
только для	2	2
то что	8	6
анной сергеевной	2	2
как и	9	11
т д	3	2
потому что	5	2
своей жизни	2	4
анна сергеевна	17	2
за этими	2	2
один из	4	2
будто бы	3	3
том как	3	2
и это	4	3
личности и	2	2
внутреннего я	2	2
и его	5	5
самом деле	5	3
с анной	2	2
с ними	2	3
не может	7	4
он не	4	4
по преимуществу	3	3
в его	8	11
с ним	4	7
с его	5	5
художественного целого	4	5
не только	12	11
том что	16	19
можно сказать	4	6
человеческого я	4	4
первой половины	2	2
он уже	4	2
мы уже	4	3
раз в	2	3
в финале	3	2
видит в	3	2
одной из	2	3
та же	4	2
отнюдь не	3	2
чужой жизни	2	5
дамы с	4	2
тем что	3	6
а не	12	14
жизни как	2	5
же как	2	2
в ней	4	3
в конечном	2	4
на фоне	2	3
же время	8	4
и на	3	3
в рассказе	11	21
тому что	4	4
в тексте	3	5
не было	4	6
если можно	2	2
с ее	2	5
жизни так	2	2
[...] с	2	2
по отношению	8	7
для себя	3	6
и а	5	2
что на	2	3
ничего не	8	5
но еще	2	2
в т	3	2
впрочем и	2	2
превращается в	3	4
в том	12	15
а с	2	3
нет ничего	2	2
с внешней	2	2
но в	5	2
в городе	5	4
конечном счете	2	3
половины рассказа	2	2
и от	4	2
все же	3	2
приводит к	3	2
о двух	2	2
в частности	5	7
