3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_3gram
в русской сказке	2	2
мы имеем в	2	2
свете этих материалов	2	2
о том что	2	2
и то что	5	2
но все же	4	2
в этих случаях	7	7
не что иное	3	3
как мы видели	3	5
в сказке о	3	3
что в сказке	4	3
сказка не сохранила	2	2
мы видели что	3	3
в русских сказках	2	2
тем не менее	2	5
в этом случае	3	5
выше мы видели	2	3
в данном случае	3	3
в одной сказке	2	2
с другой стороны	4	7
в некоторых случаях	3	3
в немецкой сказке	2	3
и т д	24	15
в связи с	2	3
точно так же	5	2
что иное как	3	3
до сих пор	5	5
в свете этих	2	2
