3gram	Potebnia_Myslijsyk_partition_part4_wordlist_3gram	Potebnia_Myslijsyk_partition_part3_wordlist_3gram
вместе с этим	2	2
для того чтобы	3	4
с тем и	2	2
имеет для него	2	3
по мере того	3	4
сам по себе	5	4
там же с	6	2
можно думать что	2	2
только потому что	2	2
не в том	5	2
по крайней мере	5	5
мы не можем	2	3
и в том	2	2
по отношению к	5	8
только в том	3	2
есть для меня	2	4
в том что	16	7
не могут быть	2	2
вместе с тем	4	3
от того что	5	3
а в том	5	2
в таком случае	2	2
подобно тому как	2	2
в том же	2	2
для меня то	2	2
не только не	2	3
в то же	5	3
тем не менее	3	4
то что я	2	7
а между тем	2	4
только тогда когда	7	4
можно сказать что	2	4
и т п	2	4
само по себе	3	5
и т д	3	3
заключает в себе	5	8
не может быть	3	5
что я представляю	2	2
но тем не	2	2
в том смысле	3	2
потому что мы	2	2
то же время	5	3
до сих пор	3	4
мере того как	3	4
что и в	3	2
