3gram	Vygotskiy_Psychologia_partition_part2_wordlist_3gram	Vygotskiy_Psychologia_partition_part1_wordlist_3gram
в конце концов	3	3
и в самом	2	4
надо сказать что	3	2
в том и	2	2
во всяком случае	6	2
на то что	8	6
для того чтобы	5	13
о том что	7	4
и таким образом	2	2
в сущности говоря	3	4
в художественном произведении	3	5
одной и той	3	4
с таким образом	8	8
на самом деле	2	5
заключается в том	6	10
не в том	5	2
то время как	5	2
мы видим что	2	2
как и в	4	2
только в том	3	4
в том что	9	17
искусство как прием	2	2
в то время	5	3
в этом отношении	2	5
подобно тому как	5	2
в самом деле	7	11
с точки зрения	2	10
никогда не может	2	3
и той же	3	4
тем не менее	2	4
указывает на то	3	2
то же самое	2	6
так же точно	3	7
этой точки зрения	5	2
том что она	3	3
с другой стороны	5	2
и т п	15	8
само по себе	5	3
и т д	8	2
точно так же	3	3
в том случае	2	4
не может быть	8	8
совершенно ясно что	14	6
в психологии искусства	2	4
в конечном счете	3	3
так же как	4	4
до сих пор	3	5
в том чтобы	7	3
что и в	2	3
состоит в том	2	2
когда говорит что	3	2
