3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram
в бесконечный ряд	11	2
в конце концов	4	6
на то что	8	2
во всяком случае	3	2
для того чтобы	8	2
о том что	5	9
и то что	2	3
тех или иных	2	2
по крайней мере	2	4
то и другое	2	2
не что иное	2	3
в настоящее время	3	3
в том что	5	8
необходимо сказать что	2	4
в таком случае	6	2
и о том	3	2
с точки зрения	3	8
тем не менее	18	5
в данном случае	8	2
можно сказать что	3	3
также и то	2	2
с другой стороны	3	5
по этому поводу	3	2
дело в том	3	2
в связи с	4	7
точно так же	4	3
не может быть	2	2
что иное как	2	3
в этом смысле	6	3
до сих пор	3	2
