3gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_3gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_3gram
подобно тому как	2	2
еще в году	2	2
с одной стороны	6	2
в хх веке	4	5
в то же	9	5
с точки зрения	3	2
между я и	3	2
культура авторитарного сознания	2	2
тем не менее	2	2
в е годы	2	2
в конечном счете	5	4
на наш взгляд	3	5
по отношению к	3	2
в русской литературе	2	3
о том что	2	2
в том что	5	11
то же время	9	5
в данном случае	3	4
не говоря уже	2	2
состоит в том	4	5
в этом отношении	3	2
