2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram
заметить что	2	2
не так	2	3
басня как	2	2
между тем	4	7
и ее	3	2
далеко не	5	3
такой же	7	2
и прозаической	3	3
более и	2	2
наряду с	4	3
никогда не	9	4
у них	2	2
как будто	7	4
так же	18	2
что это	8	10
мы в	3	2
в нем	4	4
как на	5	3
из этого	4	8
действия и	2	2
несмотря на	4	5
что она	16	16
в своей	3	5
и всегда	2	2
с точки	10	9
в ее	2	7
но это	2	3
в данном	4	2
и в	32	38
вместе с	2	5
то есть	21	15
оба эти	2	3
увидеть что	2	7
если бы	6	14
к тому	7	6
тот же	6	3
она не	2	6
данном случае	4	2
и т	10	14
у всех	2	4
утверждать что	4	2
на деле	8	4
для нас	2	8
должен был	2	2
в свою	3	4
что оно	2	2
другой стороны	2	5
все это	5	3
басню как	3	3
при этом	13	4
противоречие с	2	2
по самому	3	2
басни которая	2	3
как к	3	2
басни он	2	2
лессинга и	3	2
согласиться с	2	4
с этим	4	8
построения басни	3	4
их в	2	2
и как	7	8
того что	8	4
едва ли	4	3
точки зрения	17	16
того как	4	3
басни крылова	2	3
же самое	6	10
чувства и	2	2
что он	13	11
с и	12	6
столь же	4	2
что с	3	4
говорит что	7	8
так что	3	8
главным образом	3	3
и эти	2	2
показывает что	3	2
была бы	2	2
он все	3	2
что они	7	4
с тем	11	8
место в	2	3
в целом	4	4
в таком	2	3
то же	13	10
на этом	3	5
не имеют	2	2
как бы	6	14
басни и	3	13
сих пор	5	5
что в	20	20
в которых	3	6
и крылова	2	2
в этом	13	13
и потебня	3	6
образом и	4	2
не к	3	3
что всякое	2	2
видим что	3	8
эту басню	2	7
того же	2	3
что басня	11	15
в полном	2	2
совершенно ясно	7	13
но как	3	2
никак не	4	7
и этот	2	3
когда она	4	3
он в	3	2
той же	8	2
стоит только	2	3
крылова и	2	3
в то	5	3
и для	4	4
то как	3	2
так как	12	6
и мы	6	13
как раз	5	8
же точно	10	2
было бы	11	12
поэтической и	2	3
басни на	2	2
в самом	12	25
к своему	2	2
и которая	2	2
в нас	3	4
таким образом	21	12
и той	4	2
а в	4	7
что если	6	4
ответом на	3	3
до сих	5	6
в басне	15	37
на то	11	16
очевидно что	2	2
вовсе не	2	8
все эти	7	4
например в	3	2
к ним	2	3
могло бы	2	2
не могут	3	2
как это	4	6
во всех	3	4
т п	8	5
сам собой	2	2
если мы	12	6
по своему	3	4
не в	8	12
это только	3	3
но только	4	8
и часто	2	2
мысль что	2	4
мы видим	4	12
и не	10	10
из анализа	2	2
полагает что	2	3
ссылается на	3	3
и другое	2	4
может быть	18	19
поэзии и	7	2
для художественного	2	2
всякий раз	2	3
показать что	5	7
к басне	4	5
такое же	2	3
ни в	2	3
и все	4	10
ли это	2	2
мы можем	3	7
состоит в	3	3
в одном	2	8
на самом	5	2
в глаза	2	2
о том	6	6
в этой	6	13
при помощи	10	4
по существу	3	2
и к	3	3
совершенно не	4	5
на примере	2	2
в себе	2	4
что у	5	7
а я	2	3
свою очередь	2	2
только в	7	4
он прямо	2	2
но и	10	5
и когда	4	5
что не	3	3
для этого	3	2
из всех	2	3
того чтобы	14	9
что же	3	2
то время	3	2
басня может	2	6
когда мы	2	2
при таком	4	2
не имеет	4	6
из них	4	6
ясно что	7	6
и более	4	2
в этих	2	2
что и	17	4
казалось бы	2	5
для того	13	8
как в	9	4
басни что	2	3
басня и	2	2
то что	21	35
увидим что	2	9
как и	10	8
и которые	2	3
потому что	21	14
может служить	3	7
указывают на	2	2
что все	9	3
т д	2	4
в которой	2	5
бы не	2	3
один из	3	6
том как	2	2
и это	4	8
их характера	2	2
что этот	2	4
которых мы	3	6
говорит о	2	2
и здесь	2	6
говорит он	4	2
с этой	4	2
и его	7	6
и только	2	3
когда он	10	4
до конца	3	2
области поэзии	2	2
к которым	3	5
которое она	2	3
не может	17	7
он не	6	6
самом деле	16	21
могли бы	2	5
в его	2	5
но что	2	2
и то	3	8
том и	2	2
не могли	3	4
заключается в	12	7
не только	12	12
том что	21	14
как только	2	3
всех остальных	2	2
та же	3	3
что по	2	3
и тем	4	3
отнюдь не	5	2
в них	2	3
басню о	3	3
были бы	3	3
в своих	9	4
действующих лиц	3	5
в виду	3	4
тем что	9	3
смысл и	2	4
а не	7	7
мы не	3	5
одной и	4	2
указывает на	3	6
все те	2	2
в ней	5	15
из которых	2	4
и даже	5	4
то это	3	2
на это	3	3
целый ряд	6	2
и на	5	6
что именно	3	2
с но	2	2
есть только	5	2
думать что	3	2
в общем	3	2
во всяком	2	2
с той	4	4
тому что	4	6
который не	3	4
и следовательно	2	2
с ее	3	2
все более	2	2
что его	5	2
и совершенно	3	4
в самой	2	4
в конце	3	2
он говорит	5	6
хотя бы	3	2
басню с	3	3
ничего не	4	2
сущности говоря	4	7
все время	6	30
в основе	11	3
что чем	2	2
на басню	4	4
в сборнике	2	3
всяком случае	2	2
там где	2	6
в том	37	25
а с	2	2
иначе говоря	4	5
басню в	2	4
но в	3	3
здесь мы	2	4
и что	22	18
с другой	3	7
и вот	3	2
но он	3	2
в сущности	7	10
поэтической басни	3	6
время как	3	4
и басня	2	3
и по	4	2
сказать что	7	4
все же	4	8
в какой	2	5
