2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram
для них	3	2
не так	4	3
мы имеем	2	2
связи с	7	8
разного рода	4	2
никогда не	7	6
как будто	3	3
в нем	6	9
так же	5	5
можно было	2	4
есть в	2	3
из этого	4	3
так и	7	10
об этом	4	3
его в	6	3
в своей	22	5
это не	2	9
с точки	8	2
прежде всего	6	3
раз и	2	4
в ее	3	4
как о	4	5
в данном	2	9
в заключение	2	3
и в	30	44
таком случае	2	4
но не	7	3
вместе с	7	2
то есть	21	34
в стихотворении	14	2
к тому	2	3
значение и	2	5
в качестве	4	3
данном случае	2	7
для нас	10	16
здесь не	7	8
нас в	4	4
именно в	3	2
другой стороны	6	5
тоже не	2	5
при этом	4	4
по крайней	4	5
в настоящее	3	2
настоящее время	3	2
совсем не	3	2
мы будем	2	2
в результате	7	2
этом стихотворении	2	2
по поводу	2	2
и другие	3	3
и с	5	9
однако в	3	2
уже в	2	3
да и	2	5
и как	6	3
поэтому и	2	2
гораздо более	4	5
того что	3	8
едва ли	4	5
точки зрения	10	5
в отношении	3	2
в символе	2	13
не менее	5	10
в чем	2	4
что он	7	9
в своем	11	5
так что	11	12
это уже	2	3
тем не	5	10
также и	12	16
сравнении с	3	2
с тем	5	5
что они	3	5
только тогда	3	2
в таком	2	5
и является	2	4
то же	2	13
а также	3	4
как бы	6	9
и нет	2	2
сих пор	2	2
что в	5	8
и притом	5	4
уже не	6	7
в этом	17	17
и вполне	4	5
бы то	2	4
человека но	2	3
нас и	2	2
того же	4	2
необходимо сказать	4	3
по мнению	2	2
с одной	3	2
кроме того	2	3
здесь в	2	3
никак не	8	9
тех или	2	5
всякого рода	2	4
мы и	2	2
он в	3	2
только еще	3	3
дело в	2	4
и о	5	5
еще не	3	5
в то	4	9
и для	6	2
и вообще	9	8
так как	6	9
что иное	3	4
нисколько не	5	2
как раз	5	8
и у	5	2
но уже	2	3
было бы	4	8
в сравнении	3	2
в самом	5	3
же не	4	2
нет никакого	3	4
и до	2	2
таким образом	13	9
тем же	3	2
а в	6	5
себе а	2	3
человеческой жизни	2	2
до сих	2	2
подобного рода	7	3
на то	2	3
вовсе не	8	37
а именно	12	8
то и	2	5
некоторого рода	4	10
как мы	2	8
без всякого	2	3
все эти	2	7
он и	5	2
жизни и	2	6
иной раз	2	3
точно так	3	3
конце концов	6	3
только и	3	8
или иных	2	4
же рода	3	2
не в	7	13
такого рода	2	6
но только	3	6
у нас	7	10
но все	4	3
об его	2	4
и не	12	35
может быть	7	28
ни в	4	8
смысле слова	3	8
в виде	10	6
даже и	4	16
и все	9	3
мы можем	5	6
о том	12	6
такого же	3	2
в этой	10	3
мы читаем	6	2
при помощи	6	8
по существу	2	2
и к	4	6
в связи	7	7
иное как	3	4
в себе	4	8
что у	5	3
и тогда	2	3
и без	2	4
что здесь	2	5
только в	9	19
не просто	5	23
но и	13	10
в другом	3	2
не что	3	4
то время	3	4
жизнь и	3	2
из них	2	2
не то	2	2
и сам	4	5
и более	2	2
и за	2	2
находим в	2	3
то ни	2	6
тут же	6	4
что и	6	9
как в	2	5
то что	18	23
и после	3	2
как и	7	10
потому что	13	25
но даже	4	4
тоже имеет	2	2
нас не	3	5
его не	2	2
в которой	5	2
если не	4	3
будто бы	5	3
и сама	2	2
ясно что	4	6
жизнь в	3	3
с этой	2	3
он сам	3	4
и его	6	5
и только	2	6
когда он	2	2
самом деле	2	3
он не	3	8
не может	5	7
в его	12	9
в нашей	2	2
крайней мере	4	5
и то	5	14
мы выше	2	4
с ним	3	7
не только	18	14
по себе	2	25
том что	17	12
можно сказать	6	6
бесконечный ряд	2	8
отнюдь не	4	10
и тем	3	9
в виду	3	10
тем что	2	4
а не	5	18
хотя и	8	5
мы не	2	7
указывает на	3	7
мы находим	7	7
в ней	3	5
и даже	14	14
есть только	3	4
во всяком	2	9
же в	3	3
гораздо больше	2	2
который в	9	2
свой собственный	2	3
как символа	6	2
в котором	2	2
в самой	3	2
в конце	8	5
для себя	5	2
хотя бы	2	3
или в	4	4
ничего не	2	3
еще и	4	7
в начале	3	2
всяком случае	2	6
в бесконечный	2	7
свое собственное	2	2
в том	12	21
а с	4	2
в таких	2	3
но в	9	12
и что	6	7
с другой	6	7
является символом	2	3
время как	3	4
сказать что	9	16
все же	9	6
однако для	2	2
в частности	4	2
