3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram
тем что оно	2	2
на то что	4	4
в первом случае	3	3
по сравнению с	7	14
для того чтобы	18	8
во втором случае	3	2
в сущности говоря	2	4
одной и той	2	3
и то что	3	2
друг с другом	2	5
как раз в	2	2
заключается в том	4	5
то время как	2	5
и тем самым	4	5
в себе ничего	2	2
не могут не	2	2
именно в этом	2	2
мы могли бы	4	9
по отношению к	5	10
как мы видели	3	4
в том что	13	19
к тому что	6	7
в то время	2	6
вместе с тем	4	2
привело нас к	2	3
в этом отношении	3	3
не только не	9	2
не иначе как	2	4
с точки зрения	21	10
с самого начала	7	7
и той же	2	3
из того что	2	3
то же самое	5	6
в этом случае	14	2
в последнее время	2	2
бы сказать что	2	2
при переходе от	3	5
так же точно	3	3
можно сказать что	3	6
в самом начале	3	4
потому что он	2	4
не может быть	4	2
так же как	7	6
развития научных понятий	2	5
до сих пор	3	3
могли бы сказать	2	2
состоит в том	3	2
