2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram
заметить что	2	2
не так	3	2
басня как	2	2
между тем	7	4
и ее	2	3
далеко не	3	5
такой же	2	7
и прозаической	3	3
более и	2	2
наряду с	3	4
никогда не	4	9
у них	2	2
как будто	4	7
так же	2	18
что это	10	8
мы в	2	3
в нем	4	4
как на	3	5
из этого	8	4
действия и	2	2
несмотря на	5	4
что она	16	16
в своей	5	3
и всегда	2	2
с точки	9	10
в ее	7	2
но это	3	2
в данном	2	4
и в	38	32
вместе с	5	2
то есть	15	21
оба эти	3	2
увидеть что	7	2
если бы	14	6
к тому	6	7
тот же	3	6
она не	6	2
данном случае	2	4
и т	14	10
у всех	4	2
утверждать что	2	4
на деле	4	8
для нас	8	2
должен был	2	2
в свою	4	3
что оно	2	2
другой стороны	5	2
все это	3	5
басню как	3	3
при этом	4	13
противоречие с	2	2
по самому	2	3
басни которая	3	2
как к	2	3
басни он	2	2
лессинга и	2	3
согласиться с	4	2
с этим	8	4
построения басни	4	3
их в	2	2
и как	8	7
того что	4	8
едва ли	3	4
точки зрения	16	17
того как	3	4
басни крылова	3	2
же самое	10	6
чувства и	2	2
что он	11	13
с и	6	12
столь же	2	4
что с	4	3
говорит что	8	7
так что	8	3
главным образом	3	3
и эти	2	2
показывает что	2	3
была бы	2	2
он все	2	3
что они	4	7
с тем	8	11
место в	3	2
в целом	4	4
в таком	3	2
то же	10	13
на этом	5	3
не имеют	2	2
как бы	14	6
басни и	13	3
сих пор	5	5
что в	20	20
в которых	6	3
и крылова	2	2
в этом	13	13
и потебня	6	3
образом и	2	4
не к	3	3
что всякое	2	2
видим что	8	3
эту басню	7	2
того же	3	2
что басня	15	11
в полном	2	2
совершенно ясно	13	7
но как	2	3
никак не	7	4
и этот	3	2
когда она	3	4
он в	2	3
той же	2	8
стоит только	3	2
крылова и	3	2
в то	3	5
и для	4	4
то как	2	3
так как	6	12
и мы	13	6
как раз	8	5
же точно	2	10
было бы	12	11
поэтической и	3	2
басни на	2	2
в самом	25	12
к своему	2	2
и которая	2	2
в нас	4	3
таким образом	12	21
и той	2	4
а в	7	4
что если	4	6
ответом на	3	3
до сих	6	5
в басне	37	15
на то	16	11
очевидно что	2	2
вовсе не	8	2
все эти	4	7
например в	2	3
к ним	3	2
могло бы	2	2
не могут	2	3
как это	6	4
во всех	4	3
т п	5	8
сам собой	2	2
если мы	6	12
по своему	4	3
не в	12	8
это только	3	3
но только	8	4
и часто	2	2
мысль что	4	2
мы видим	12	4
и не	10	10
из анализа	2	2
полагает что	3	2
ссылается на	3	3
и другое	4	2
может быть	19	18
поэзии и	2	7
для художественного	2	2
всякий раз	3	2
показать что	7	5
к басне	5	4
такое же	3	2
ни в	3	2
и все	10	4
ли это	2	2
мы можем	7	3
состоит в	3	3
в одном	8	2
на самом	2	5
в глаза	2	2
о том	6	6
в этой	13	6
при помощи	4	10
по существу	2	3
и к	3	3
совершенно не	5	4
на примере	2	2
в себе	4	2
что у	7	5
а я	3	2
свою очередь	2	2
только в	4	7
он прямо	2	2
но и	5	10
и когда	5	4
что не	3	3
для этого	2	3
из всех	3	2
того чтобы	9	14
что же	2	3
то время	2	3
басня может	6	2
когда мы	2	2
при таком	2	4
не имеет	6	4
из них	6	4
ясно что	6	7
и более	2	4
в этих	2	2
что и	4	17
казалось бы	5	2
для того	8	13
как в	4	9
басни что	3	2
басня и	2	2
то что	35	21
увидим что	9	2
как и	8	10
и которые	3	2
потому что	14	21
может служить	7	3
указывают на	2	2
что все	3	9
т д	4	2
в которой	5	2
бы не	3	2
один из	6	3
том как	2	2
и это	8	4
их характера	2	2
что этот	4	2
которых мы	6	3
говорит о	2	2
и здесь	6	2
говорит он	2	4
с этой	2	4
и его	6	7
и только	3	2
когда он	4	10
до конца	2	3
области поэзии	2	2
к которым	5	3
которое она	3	2
не может	7	17
он не	6	6
самом деле	21	16
могли бы	5	2
в его	5	2
но что	2	2
и то	8	3
том и	2	2
не могли	4	3
заключается в	7	12
не только	12	12
том что	14	21
как только	3	2
всех остальных	2	2
та же	3	3
что по	3	2
и тем	3	4
отнюдь не	2	5
в них	3	2
басню о	3	3
были бы	3	3
в своих	4	9
действующих лиц	5	3
в виду	4	3
тем что	3	9
смысл и	4	2
а не	7	7
мы не	5	3
одной и	2	4
указывает на	6	3
все те	2	2
в ней	15	5
из которых	4	2
и даже	4	5
то это	2	3
на это	3	3
целый ряд	2	6
и на	6	5
что именно	2	3
с но	2	2
есть только	2	5
думать что	2	3
в общем	2	3
во всяком	2	2
с той	4	4
тому что	6	4
который не	4	3
и следовательно	2	2
с ее	2	3
все более	2	2
что его	2	5
и совершенно	4	3
в самой	4	2
в конце	2	3
он говорит	6	5
хотя бы	2	3
басню с	3	3
ничего не	2	4
сущности говоря	7	4
все время	30	6
в основе	3	11
что чем	2	2
на басню	4	4
в сборнике	3	2
всяком случае	2	2
там где	6	2
в том	25	37
а с	2	2
иначе говоря	5	4
басню в	4	2
но в	3	3
здесь мы	4	2
и что	18	22
с другой	7	3
и вот	2	3
но он	2	3
в сущности	10	7
поэтической басни	6	3
время как	4	3
и басня	3	2
и по	2	4
сказать что	4	7
все же	8	4
в какой	5	2
