3gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part2_wordlist_3gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part1_wordlist_3gram
тому что он	2	2
о том что	9	7
с анной сергеевной	2	2
первой половины рассказа	2	2
не случайно в	2	2
по отношению к	8	7
только в том	2	2
как и в	3	3
в том что	6	11
к тому что	4	4
не только в	2	2
того или иного	2	2
в самом деле	4	3
о том как	2	2
в то же	8	4
с точки зрения	3	2
тем не менее	3	3
в этой связи	4	2
том что в	2	3
в финале рассказа	3	2
можно было бы	4	2
и т п	8	2
и т д	3	2
не может быть	2	3
на наш взгляд	2	4
в конечном счете	2	3
то же время	8	4
до сих пор	2	2
дама с собачкой	3	2
