2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram
не так	2	3
ведь если	4	2
связи с	5	8
разного рода	4	2
том или	3	3
так же	5	5
в данном	10	9
как о	3	5
в заключение	2	3
того или	7	6
только одного	2	2
к тому	3	3
с нею	2	2
перед нами	2	8
для нас	9	16
та или	2	3
в настоящее	16	2
акта обозначения	5	2
совсем не	7	2
о которых	3	3
самого же	2	2
в результате	4	2
с этим	5	2
и как	4	3
что слово	3	2
но никак	2	3
едва ли	9	5
точки зрения	2	5
же самое	6	9
знак есть	11	6
от нас	3	2
что они	3	5
при условии	6	2
в целом	3	6
как бы	4	9
что в	11	8
уже не	8	7
же такое	4	3
бы то	2	4
отличается от	2	4
случае когда	2	2
ни с	2	4
определенным образом	2	2
кроме того	5	3
или другого	2	3
или как	2	3
но как	6	4
никак не	11	9
тех или	3	5
и о	4	5
имеет ничего	2	3
есть ни	3	3
с другими	5	3
заставляет нас	2	2
было бы	8	8
с понятием	2	3
только на	9	5
таким образом	4	9
то такого	2	2
а в	4	5
он является	2	3
и обозначаемого	2	2
но только	4	6
у нас	18	10
всех этих	4	2
чистом виде	3	2
как нечто	2	9
в связи	5	7
структуры и	2	3
в себе	5	8
ничем не	2	2
является не	2	2
только в	14	19
не будем	4	2
уж во	2	3
часто бывает	2	3
в языкознании	7	2
не имеет	7	9
и сам	2	5
не то	2	2
или иной	5	8
тоже является	4	5
а это	3	3
но даже	3	4
и значение	4	3
если не	4	3
и это	5	9
есть именно	5	5
и только	4	6
это будет	3	4
не может	13	7
самого себя	2	3
он не	2	8
это тоже	3	2
могли бы	3	4
не есть	33	35
и если	3	6
по себе	8	25
как только	3	3
эта последняя	2	2
и тем	4	9
содержит в	2	3
теории языка	12	3
нашего исследования	3	2
тем что	4	4
хотя и	3	5
а только	6	5
бесконечное число	2	2
говорим о	3	3
в условиях	2	3
собственно говоря	2	5
и следовательно	4	2
в том	12	21
но в	6	12
все равно	3	3
все же	8	6
самой собой	2	2
в частности	5	2
и ее	2	3
как будто	6	3
и при	2	2
знак то	4	2
из этого	2	3
его в	3	3
об этом	2	3
так и	7	10
говорить о	10	3
является в	2	2
и в	35	44
вместе с	2	2
значение и	8	5
в качестве	2	3
она не	3	3
здесь не	2	8
нас в	3	4
является здесь	2	2
другой стороны	5	5
все это	4	5
при этом	3	4
имеет никакого	2	3
знак и	21	3
и ни	3	3
и с	10	9
уже в	3	3
не являются	3	2
да и	10	5
что мы	14	8
гораздо более	4	5
определенного рода	6	5
языка и	5	4
же и	2	4
или ином	2	2
что он	4	9
на первый	4	4
также и	12	16
с тем	3	5
только тогда	3	2
это вовсе	2	4
в этом	17	17
и вполне	4	5
пока еще	9	2
о чем	6	2
мы и	6	2
в их	3	2
взятые сами	2	4
еще не	10	5
в то	6	9
что иное	3	4
как раз	8	8
в самом	5	3
другими словами	6	6
это и	3	7
слова это	2	2
что для	3	3
до сих	4	2
каждый раз	3	3
то и	4	5
теории знака	4	2
конце концов	7	3
во всех	2	2
значение в	4	3
и не	37	35
вещи и	2	7
смысле слова	7	8
в виде	6	6
только с	2	4
даже и	18	16
мы можем	6	6
самым мы	2	2
на самом	4	7
это значит	4	4
идет речь	2	3
как иначе	3	4
при помощи	8	8
совершенно не	2	4
обязательно есть	2	2
и без	5	4
не просто	11	23
бы в	3	2
но и	16	10
нечто более	2	2
при таком	2	2
тут же	8	4
друг от	2	2
потому что	13	25
и символом	2	3
что всякий	5	9
слова и	4	3
что знак	11	5
тем более	10	3
в слове	3	2
в его	7	9
в той	2	3
можно сказать	6	6
попросту говоря	4	3
тем самым	7	5
никак нельзя	3	2
в каком	4	4
были бы	2	2
мы не	7	7
указывает на	5	7
из которых	2	2
не был	4	2
в ней	2	5
никто не	3	2
а может	2	2
