3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram
в бесконечный ряд	7	2
в конце концов	3	6
это уже не	2	2
во всяком случае	6	2
о том что	3	9
потому что они	2	2
и то что	7	3
тех или иных	4	2
для нас не	3	2
то время как	4	3
в сравнении с	2	3
по крайней мере	5	4
как будто бы	3	3
и в частности	2	3
бы то ни	4	2
не что иное	4	3
в настоящее время	2	3
в том что	9	8
необходимо сказать что	2	4
в то время	4	3
в таком случае	4	2
с точки зрения	2	8
тем не менее	10	5
но и в	2	2
в данном случае	7	2
можно сказать что	2	3
также и то	4	2
с другой стороны	5	5
дело в том	3	2
потому что он	4	2
в связи с	7	7
точно так же	3	3
в этом стихотворении	2	2
такого же рода	2	2
не может быть	5	2
никак не может	2	2
мы находим в	2	2
что иное как	4	3
но даже и	4	2
до сих пор	2	2
