2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram
искусства не	2	5
основу этого	2	2
никогда не	9	8
так же	13	12
утверждает что	2	2
со стороны	3	4
к тому	8	4
для нас	3	5
совсем не	2	3
в результате	4	4
с этим	2	3
и как	7	2
с совершенно	2	2
точки зрения	7	15
с здесь	3	3
же самое	5	2
в психологии	3	6
не дает	2	2
говорит что	6	5
что они	5	2
в целом	5	5
как бы	19	5
что в	24	23
этом смысле	2	2
отличается от	2	2
что всякое	4	5
совершенно верно	4	2
никак не	6	4
и дальше	2	2
той же	3	3
и о	3	4
в него	4	2
было бы	5	6
только на	4	3
в нас	13	2
таким образом	20	20
а в	4	6
художественного произведения	3	17
этой теории	2	6
по этому	5	2
очевидно что	2	6
жизни и	6	3
это только	3	2
но только	3	3
у нас	4	4
что эти	2	3
как она	4	2
эмпирической психологии	3	2
в себя	2	2
у шекспира	6	2
все то	2	3
мы никогда	2	4
напротив того	2	2
легко показать	3	2
по существу	2	4
в себе	5	4
художественное произведение	5	10
что здесь	3	2
только в	5	14
имеет место	3	2
в искусстве	6	4
на искусство	2	2
мы увидим	9	4
с так	2	2
и это	8	3
говорит о	4	2
что самое	2	3
и его	6	7
и только	3	3
до конца	2	6
не может	9	17
он не	3	3
не есть	4	3
и если	6	4
по себе	7	9
что по	2	3
и тем	6	2
в них	4	2
и следовательно	2	2
в трех	3	2
в котором	2	4
не существует	3	2
когда говорит	8	3
в том	27	30
но в	5	3
в совершенно	6	4
все же	7	5
приводит к	2	2
в частности	4	3
мы имеем	8	4
как будто	6	5
что это	8	6
действия и	4	2
так и	3	3
из этого	2	2
с точки	2	2
в ее	3	5
в одной	2	3
и в	30	31
не можем	4	3
вместе с	12	8
в качестве	2	2
исходя из	2	3
другой стороны	5	5
все это	2	8
при этом	8	19
представить себе	2	3
и с	2	2
психологию искусства	3	3
уже в	6	3
психологии искусства	5	19
совпадают с	2	2
что мы	11	8
гораздо более	2	2
эта теория	5	5
что он	17	7
с и	5	5
показывает что	3	5
в стихе	4	2
с тем	8	3
в этом	14	12
видим что	3	2
что искусство	4	11
формы и	3	5
о чем	4	2
по мнению	6	2
это есть	3	5
но мы	2	3
в то	2	5
как раз	13	2
в самом	14	11
отличие от	2	4
это и	2	3
для объективной	2	2
до сих	5	3
конце концов	2	3
т п	3	16
и не	6	16
показать что	12	8
мы можем	7	4
состоит в	3	3
в одном	2	2
на самом	2	2
совершенно не	6	5
бы в	5	2
и когда	9	3
но и	6	2
себя и	2	2
того чтобы	20	7
психологической теории	2	2
этих двух	7	2
казалось бы	4	2
для того	20	6
и поэтому	3	2
увидим что	9	2
потому что	23	10
искусство как	2	9
произведение искусства	6	8
в которой	3	4
в каждом	2	3
художественном произведении	2	3
только не	5	3
когда он	5	2
в его	4	6
том и	2	2
нашей фантазии	2	2
в каком	3	2
в своих	5	4
мы все	6	2
же как	2	4
мы не	3	12
одной и	2	4
указывает на	4	4
из которых	4	3
что всякая	4	2
мы пытаемся	2	2
чтобы показать	2	3
и совершенно	4	5
том чтобы	2	7
что на	3	3
эстетической реакции	17	5
это в	3	2
что даже	2	2
совершенно прав	7	2
художественной формы	3	5
в зависимости	6	5
в нем	7	2
если же	2	2
что она	6	6
в своей	4	3
несмотря на	5	5
прежде всего	4	4
в состоянии	3	3
одна из	3	4
но не	7	3
и составляет	3	2
то есть	13	26
если бы	11	6
