2gram	Vinokur_KulturaYazyka_partition_part1_wordlist_2gram	Vinokur_KulturaYazyka_partition_part3_wordlist_2gram
между тем	4	5
можно говорить	10	2
мы имеем	2	6
связи с	6	7
относится к	2	2
в рамках	5	4
что такое	4	6
в зависимости	7	5
из этих	5	4
слова как	2	3
к языку	4	5
научное языковедение	3	2
в свое	2	2
что это	3	5
так же	2	4
и при	2	2
и того	2	2
можно было	11	6
как на	8	3
что она	5	3
так и	6	7
в своей	4	2
речь идет	3	2
с точки	16	9
это не	3	7
прежде всего	9	9
речи в	7	4
в данном	7	4
как о	3	2
и в	23	24
а то	2	2
но если	3	2
не потому	3	5
но не	3	5
не случайно	4	6
того или	3	4
вместе с	2	7
если бы	8	9
зависимости от	8	6
тот же	6	2
к тому	3	5
в качестве	2	7
в силу	6	10
и т	54	33
таких слов	2	2
в значении	2	2
для нас	4	2
здесь не	2	3
именно в	3	6
а во-вторых	2	2
другой стороны	3	6
все это	2	6
при этом	6	6
внутренняя форма	3	2
на мой	3	2
в результате	3	5
которые можно	2	2
и есть	5	2
и с	3	5
на практике	4	3
уже в	3	3
и как	2	2
что слово	3	3
того что	11	9
точки зрения	23	14
того как	7	4
языка и	2	8
не все	2	2
не менее	12	7
что он	6	6
в своем	4	3
так сказать	2	5
тем не	9	4
также и	5	2
обстоятельство что	3	8
в числе	4	2
может иметь	3	2
только тогда	4	3
что они	2	4
с тем	6	5
в таком	4	3
в целом	4	4
то же	6	8
как бы	5	7
в русском	2	4
первую очередь	3	2
сих пор	8	4
что в	13	17
уже не	8	8
убедиться что	4	2
в которых	3	6
в этом	16	14
должно быть	7	3
практической стилистики	4	3
лишь в	8	2
того же	4	4
должна быть	3	3
о чем	2	2
в языке	7	8
или иного	3	3
русском языке	3	4
никак не	2	2
той же	3	3
в их	6	3
xix века	3	5
же до	2	2
еще не	9	5
как например	2	2
в то	3	2
т е	32	38
этом случае	4	2
они не	3	3
этого рода	3	6
мой взгляд	3	2
как раз	4	8
так как	9	9
в тех	2	4
в первую	3	4
о языке	6	8
было бы	16	15
очень много	2	2
то обстоятельство	3	8
в самом	13	10
смысле этого	2	3
таким образом	9	12
которое в	2	2
а в	5	5
это и	3	4
что если	2	2
до сих	8	4
ни одного	2	2
мы говорим	4	2
на том	2	3
очевидно что	3	3
вовсе не	5	10
вопрос о	11	2
то и	2	2
а именно	3	2
области языка	2	2
в структуре	3	2
речь в	2	4
культура языка	2	2
все эти	7	6
слово это	2	5
не могут	5	2
не столько	4	2
письменной речи	4	3
как это	7	3
внимание на	2	4
т п	41	18
как таковой	2	2
если мы	7	2
между прочим	8	2
не в	5	11
тогда когда	4	6
у нас	10	10
отношению к	2	9
но все	2	2
что эти	2	4
но также	5	2
и не	10	12
может быть	14	13
ни в	3	2
культуры языка	2	4
не трудно	3	7
в первом	5	3
конечно не	2	2
одного и	2	2
состоит в	2	3
с помощью	6	7
в одном	2	3
на самом	3	2
о том	6	9
по существу	3	4
е в	2	2
в связи	5	3
я не	5	2
есть язык	3	3
не с	2	3
не просто	2	5
только в	6	11
но и	3	6
именно поэтому	2	2
что не	4	5
для этого	6	3
дело не	2	2
учение о	2	4
того чтобы	11	17
что же	5	6
когда мы	3	2
не имеет	3	2
и более	3	2
в этих	2	4
то мы	3	3
что и	6	4
для того	12	16
или иной	7	3
как в	4	4
как об	2	2
то что	4	9
как и	5	2
увидим что	2	2
т д	8	14
потому что	12	23
может служить	2	2
что все	2	2
указать на	2	4
один из	4	4
в особенности	2	3
в области	14	7
ясно что	4	3
и здесь	2	3
слова и	7	4
был бы	3	2
и пр	3	15
более или	2	3
с этой	3	2
самом деле	14	9
тем более	5	2
когда он	2	3
в слове	4	2
не может	6	7
он не	3	2
по преимуществу	3	2
в его	11	12
и именно	3	2
практическая стилистика	2	4
не есть	3	4
и если	2	3
в той	4	5
заключается в	4	2
не только	17	10
по себе	6	2
язык есть	4	6
можно сказать	2	3
том что	11	21
как они	2	2
в какой	3	6
тем самым	4	4
на этот	2	2
и тем	6	2
на себя	2	3
в каком	3	2
бы уже	2	2
не говоря	2	2
свое время	2	2
были бы	4	2
в виду	8	5
именно так	2	2
тем что	5	8
смысл и	2	2
а не	11	8
хотя и	5	3
русский язык	4	4
этого слова	4	3
все те	2	2
в ней	3	6
то это	3	3
бы и	3	2
целый ряд	4	5
в общем	6	3
во всяком	2	5
тому что	4	3
иными словами	8	4
не было	4	3
е как	3	4
по отношению	3	8
в котором	2	3
быть в	2	2
или менее	2	3
том чтобы	4	8
хотя бы	9	10
когда в	2	2
ничего не	6	2
еще и	2	5
но язык	2	2
там где	3	4
в том	22	30
а с	3	3
иначе говоря	2	2
языка как	4	5
в таких	2	4
но в	2	2
русского языка	7	9
и что	7	5
а потому	2	5
с другой	7	7
языка в	6	12
в сущности	4	3
и должно	5	2
здесь как	2	2
в пределах	2	4
все же	5	12
как я	2	2
в частности	2	4
