3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_3gram
взрослого человека и	2	2
в развитии мышления	6	6
на то что	3	3
в свою очередь	2	3
во всяком случае	4	3
по сравнению с	3	5
для того чтобы	7	15
в собственном смысле	6	5
о том что	3	6
в зависимости от	5	2
к выводу что	2	4
одной и той	2	2
смысле этого слова	4	3
ни в какой	4	2
могли бы сказать	3	2
же как и	4	4
друг с другом	5	4
заключается в том	7	6
то время как	4	4
внутренней речи и	2	4
проблема мышления и	2	2
и в отношении	2	3
в детском возрасте	2	9
что перед нами	3	2
по отношению к	2	7
мышление и речь	3	2
мы могли бы	7	5
речь и мышление	2	2
в том что	17	15
в то время	4	5
вместе с тем	10	5
мышления и речи	18	31
в этом отношении	3	4
речи и мышления	2	9
с самого начала	6	8
является то что	4	2
и той же	2	2
как уже сказано	5	6
независимо от того	3	2
так же точно	3	9
бы сказать что	3	2
в известном смысле	2	2
с другой стороны	3	9
собственном смысле этого	4	3
в высшей степени	6	4
можно было бы	5	3
а с другой	3	2
вопрос об отношении	2	5
таким образом что	2	3
на первый план	2	2
мы не станем	4	4
с одной стороны	5	8
не может быть	2	5
в пользу того	2	3
так же как	6	5
развития детского мышления	2	2
и речи в	2	3
