3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part8_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part3_wordlist_3gram
той же книге	3	3
с начала и	4	3
для того чтобы	3	2
о том что	2	2
в романе рабле	15	14
хвалы и брани	4	4
хвала и брань	2	3
или меньшей степени	2	3
в эпоху рабле	6	5
в большей или	2	3
в его романе	2	4
в четвертой книге	4	3
как и в	2	4
как мы видели	2	2
большей или меньшей	3	3
народной смеховой культуры	6	3
и до конца	5	4
как мы уже	5	2
и в романе	2	2
но в то	4	2
мы уже говорили	3	7
начала и до	4	3
в то же	6	10
в своем романе	2	2
рабле и его	4	3
в той же	4	3
в данном случае	2	2
можно сказать что	2	2
том числе и	2	2
в связи с	4	3
не может быть	2	2
то же время	6	10
до сих пор	4	8
в том числе	3	3
