3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_3gram
мне все равно	2	2
мы уже говорили	2	5
и в то	2	2
в большинстве случаев	4	2
в братьях карамазовых	2	3
и прежде всего	5	4
в то же	5	10
с самим собою	4	7
с точки зрения	2	2
с самого начала	3	8
отношение к себе	3	3
в творчестве достоевского	5	4
если б я	2	2
в том что	3	2
то же время	5	10
и наконец в	2	2
как мы уже	3	2
а между тем	2	3
к себе самому	6	13
так и в	2	2
