2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_2gram
связи с	8	6
далеко не	2	2
в этот	3	2
наконец и	2	2
чувствует себя	3	2
наряду с	2	5
никогда не	6	2
очень важная	2	2
у них	2	2
так же	2	6
в нем	5	24
авантюрном времени	3	5
друг другу	2	2
влияние на	2	4
его в	6	3
так и	7	12
чем не	2	3
это не	2	6
с точки	8	2
отсюда и	2	2
прежде всего	14	15
в форме	3	3
в данном	2	2
приватной жизни	3	8
и в	46	50
но не	5	5
вместе с	9	3
то есть	10	33
для раскрытия	2	2
к тому	3	3
значение и	4	3
в качестве	3	3
и т	14	8
для него	3	2
жизни в	4	8
отношение к	3	2
здесь не	2	4
именно в	2	3
по всем	2	2
все это	6	4
при этом	6	3
у него	9	6
здесь еще	3	2
мире и	2	2
в последующей	2	4
и потому	2	3
здесь дается	2	3
они были	2	2
совсем не	2	2
мы будем	3	2
истории романа	3	5
человека и	4	11
специфической логикой	3	2
и другие	3	5
с этим	5	6
друг на	2	2
отдельных авантюр	2	3
этого романа	2	4
и с	6	4
мира в	3	3
уже в	4	2
хронотопа в	3	5
и как	3	10
того что	3	2
в отношении	2	3
точки зрения	10	5
отношения к	4	3
этого мира	2	4
в своем	5	4
так сказать	7	7
не знает	2	3
в пространстве	5	5
роман в	2	4
также и	4	2
нет и	3	2
с тем	2	3
равно как	2	2
место в	4	2
характерно что	2	4
то же	8	11
к этому	3	3
а также	3	2
этом мире	6	2
как бы	10	2
на развитие	3	2
образ человека	2	6
человек в	2	3
и их	4	8
во все	2	2
между ними	2	3
сих пор	2	3
что в	5	5
уже не	3	2
в которых	3	2
в этом	22	25
принадлежит к	2	2
роль в	3	9
том же	4	2
лишь в	2	6
того же	3	8
с одной	2	3
романа в	2	5
кроме того	3	4
в это	3	2
здесь в	6	2
новое и	3	2
романе в	6	2
времени в	7	7
в их	3	6
видения и	2	2
его жизни	4	8
еще не	6	5
эту жизнь	2	2
в то	5	9
и для	9	4
так как	6	6
и у	5	5
было бы	2	2
быть и	2	2
и др	5	9
и прежде	3	2
и до	2	5
таким образом	3	11
а в	3	3
в роман	2	4
в эпосе	2	2
в литературе	2	16
греческом романе	3	22
ее в	3	2
человеческой жизни	4	6
этот ряд	3	5
до сих	2	3
борьбе с	2	2
вовсе не	13	13
и т.п	2	4
как мы	6	14
не были	2	2
все эти	5	9
в некоторых	2	2
жизни и	8	8
к ним	2	2
и времени	6	3
романе и	3	4
в романе	13	32
во всех	11	6
т п	11	8
не в	9	5
но эта	2	3
на основе	3	2
себе самому	3	4
мы видим	2	3
жизни но	2	5
всех этих	7	5
и не	9	14
пространства и	2	4
для других	3	4
в авантюрном	2	5
во времени	3	3
автора и	2	2
смысле слова	2	2
человека в	6	17
может быть	7	11
конечно не	4	4
приватного человека	2	3
и все	6	6
к себе	4	4
с помощью	3	2
в одном	7	3
и во	6	7
по существу	5	12
и к	2	2
в связи	8	5
в себе	4	3
этом отношении	2	3
только в	11	4
себя и	3	3
но и	9	8
не является	3	2
последующей истории	2	5
в дальнейшем	5	6
мир в	4	2
уже говорили	4	3
от этого	2	2
в истории	4	2
имеет место	3	3
того чтобы	8	5
жизнь и	3	4
как он	2	2
греческих романов	2	6
что было	3	3
в этих	3	3
человеческую жизнь	2	2
этого ряда	6	3
для того	8	5
или иной	2	2
что и	3	3
как в	4	6
уже сказали	3	2
то что	7	6
как и	8	8
потому что	8	4
что все	2	2
своей жизни	2	4
дан в	3	2
один из	2	3
в последующем	2	4
в особенности	6	9
и это	2	4
рядом с	2	2
том числе	3	4
слова и	3	2
и его	12	16
до конца	2	4
числе и	2	2
пределах отдельных	2	2
он не	5	5
не может	2	6
героев и	4	3
еще более	4	3
в его	8	13
в образе	4	5
в той	2	4
с ним	4	2
не только	11	9
по себе	2	2
том что	4	4
мы уже	9	11
со всеми	2	3
в точках	2	2
отнюдь не	4	5
в них	7	4
на друга	2	2
с большой	2	2
могут быть	2	5
ту же	2	2
в виду	3	3
тем что	3	2
а не	4	3
их в	4	3
хотя и	3	3
и даже	3	2
и других	2	3
же время	4	9
в греческом	5	24
и на	7	8
в основном	8	5
во всяком	2	3
же в	4	3
не было	3	7
самим собою	2	3
здесь это	2	3
в котором	4	4
в самой	2	2
в конце	2	9
автобиографии и	2	2
почти вовсе	2	2
те же	6	2
все его	4	3
исторического времени	3	4
доклассового фольклора	3	2
в основе	6	5
греческого романа	2	26
мы еще	3	3
там где	2	2
в том	10	9
но в	10	10
с другой	2	2
но он	2	2
в сущности	2	3
не для	2	2
и по	3	2
в пределах	5	5
все же	6	6
в частности	5	6
