2gram	Losev_DialektikaMifa_partition_part4_wordlist_2gram	Losev_DialektikaMifa_partition_part1_wordlist_2gram
или не	5	4
никогда не	9	2
так же	4	4
оно есть	2	4
со стороны	2	3
в данном	3	3
как о	2	2
и та	3	3
есть символ	3	5
есть тоже	2	2
та или	3	3
по сравнению	2	2
с этим	2	3
– не	11	5
или что	2	2
и как	7	4
точки зрения	17	14
отношения к	3	3
стало быть	9	15
мы получаем	2	2
есть выдумка	2	2
есть и	5	3
что они	3	4
при условии	3	2
как бы	11	14
что в	13	7
уже не	2	9
– совершенно	2	4
этом смысле	3	4
что мифология	8	2
ни с	6	4
– это	9	5
мифа и	2	6
есть своя	2	2
но как	2	2
никак не	6	2
тех или	3	4
и о	3	8
имеет ничего	3	2
есть ни	6	9
было бы	12	9
для мифического	6	2
понятия мифа	3	4
что если	2	3
это –	24	25
как таковом	2	3
миф не	14	8
что я	3	5
только потому	3	3
жизни и	3	4
как таковой	4	5
невозможна без	2	2
но только	3	5
как смысл	3	2
и другое	2	2
не говорит	4	5
конечно не	3	2
тут не	4	2
двух планов	2	2
о мифе	4	3
в себе	11	8
и тогда	2	2
что здесь	2	3
только в	3	7
ровно ничего	5	7
как не	2	2
от этого	3	3
отношении к	3	2
жизнь и	3	2
и –	14	9
не имеет	15	14
что миф	12	5
всегда и	3	3
сравнению с	2	2
и это	2	8
говорит о	5	3
не может	12	11
но что	3	5
не есть	40	40
по себе	25	13
как только	2	5
миф и	4	3
– в	4	15
в них	3	2
может и	4	2
смысл и	4	3
хотя и	4	6
это или	2	2
же время	4	6
собственно говоря	4	2
я утверждаю	4	4
и следовательно	2	3
в котором	4	2
или других	2	3
для меня	4	2
в том	9	11
но в	6	3
– то	2	3
все равно	3	2
все же	5	2
в частности	2	2
мы имеем	2	5
как таковая	2	2
что это	11	13
и при	2	2
так и	9	5
об этом	4	3
но –	4	8
с точки	12	9
говорить о	5	11
не о	4	4
и в	18	15
в качестве	2	2
она не	6	4
миф есть	4	10
другой стороны	4	2
все это	11	9
то в	7	5
имеет никакого	3	2
и ни	6	2
и с	5	4
со всей	2	2
да и	6	2
нет ровно	6	2
не нужно	2	2
же и	2	2
что он	11	7
также и	7	4
только тогда	2	5
и жизни	4	2
утверждаю что	5	5
в этом	12	11
на себе	3	5
должно быть	3	2
в мифе	12	6
это есть	9	13
науки и	5	2
в их	3	3
еще не	2	4
в то	6	6
т е	25	46
этой точки	2	2
как раз	4	4
в самом	3	2
другими словами	2	5
это и	4	9
или нет	3	3
то и	2	2
себе и	2	2
и не	30	30
вещи и	2	2
в виде	2	3
и из	3	2
даже и	3	3
мы можем	4	3
это значит	11	8
идет речь	2	4
не как	2	4
совершенно не	8	3
– мы	3	5
как же	5	5
не просто	7	7
бы в	3	4
но и	7	4
ни на	6	6
учение о	11	5
что тут	2	7
мифическое сознание	8	4
нем нет	3	2
для того	2	5
можем сказать	2	2
потому что	14	10
в особенности	5	4
тем более	2	6
с ними	2	4
в его	3	4
с ним	6	3
можно сказать	6	5
в каком	8	5
идеального и	2	2
в ней	3	5
никто не	2	2
что именно	2	7
не было	6	2
быть в	2	5
что даже	2	2
же это	3	5
что такое	10	5
сказали что	2	2
идеи и	5	4
в нем	16	5
в своей	2	3
идею и	3	3
что она	7	5
это не	9	12
прежде всего	10	11
но это	8	4
но если	5	5
если бы	12	6
можно только	2	3
и т	21	17
– и	3	4
и так	2	2
именно в	2	5
что оно	5	7
тоже не	2	2
отвлеченная идея	3	3
по крайней	4	7
всякий организм	2	3
реальное и	3	2
иметь в	3	2
он всегда	2	2
даже не	3	2
ничто не	3	2
есть просто	3	6
так что	15	6
есть мифология	3	3
для нее	2	2
во всем	2	2
на этом	2	3
не мешает	4	2
и их	2	2
и притом	4	3
должна быть	3	7
сказали мы	2	5
– вот	3	2
и для	2	5
нисколько не	4	2
очень много	3	2
быть и	4	3
или иное	3	3
которая не	2	2
вопрос о	2	2
образа в	2	2
тут есть	2	2
нет ни	2	3
есть всегда	4	3
иной раз	2	3
или по	2	4
если мы	2	5
мы видим	4	4
лишь как	2	4
значит что	14	9
– все	6	3
в разных	3	2
я не	5	5
я могу	2	2
мы должны	5	4
мифология не	7	2
что не	7	3
для этого	2	2
миф –	9	3
оно –	3	3
что же	3	2
то мы	2	3
то что	13	16
если она	3	2
между собою	2	2
и пр	5	9
с этой	2	2
это было	2	2
ни вообще	2	2
мифология –	4	2
не только	13	8
том что	9	10
она должна	2	2
или другой	4	3
могут быть	3	3
эти два	2	2
той или	7	4
а не	14	18
мы находим	7	2
и даже	13	6
или иная	3	2
и стало	2	4
есть подлинная	2	2
само по	5	4
он есть	4	7
есть только	5	3
во всяком	4	2
думать что	3	2
сама по	8	5
с той	2	2
ни о	5	3
себе не	5	2
ничего не	17	17
мифологии и	5	8
необходимым образом	2	3
просто как	2	2
сказать что	10	6
и может	2	2
можно говорить	2	2
сам по	6	2
из этих	2	2
реальность и	2	2
д и	2	3
есть нечто	10	2
думают что	6	2
мифология и	3	2
мифология есть	2	10
и потому	3	3
и есть	16	19
общего с	5	3
того что	2	13
в отношении	5	2
не менее	2	2
в чем	6	8
мог бы	2	2
в своем	5	5
что эта	4	2
она –	3	4
то же	10	9
к этому	2	3
в противоположность	5	2
то или	3	3
не значит	3	2
ничего общего	4	4
и вообще	4	7
так как	11	14
и мы	5	7
случае не	3	2
ровно никакого	2	2
е о	2	3
мы говорим	4	2
на то	5	5
вовсе не	7	6
все эти	2	3
точно так	2	2
как это	4	2
не в	6	8
об его	2	3
сознания и	3	3
но все	3	2
всегда есть	2	2
может быть	17	17
ни в	15	8
не выдумка	2	2
и все	3	11
в одну	3	3
о том	4	5
на что	2	2
и об	4	3
что уже	2	2
из них	2	2
что и	3	6
как в	2	3
как и	2	7
т д	19	15
один из	3	4
ни от	2	2
ясно что	8	11
она есть	5	10
на нем	2	2
крайней мере	4	7
и то	9	3
та же	3	3
отнюдь не	9	4
– абсолютно	3	2
в виду	5	9
мифологией и	2	2
бы и	2	3
идея и	7	3
есть не	3	5
только что	3	2
хотя бы	6	4
но они	2	2
в основе	3	10
и тут	3	3
– как	5	5
и что	12	9
от него	4	3
тот кто	2	2
и вот	6	11
что человек	2	2
