3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_3gram
в конце концов	3	2
той или иной	2	3
друг на друга	2	2
и сам знаю	3	3
сама по себе	2	4
в отличие от	2	4
о себе самом	5	3
в той или	2	3
слово о себе	4	3
друг с другом	2	4
во внутреннем диалоге	2	2
сам знаю что	2	3
по отношению к	5	5
я ведь и	3	4
к тому же	2	3
но в то	3	3
мы уже говорили	3	3
в большинстве случаев	2	8
в самом деле	3	4
в романах достоевского	3	2
с самим собой	6	3
в пределах одного	2	9
в то же	12	5
с точки зрения	4	8
тем не менее	2	2
как раз и	2	2
к себе самому	14	3
с другой стороны	3	3
ведь и сам	2	3
и т п	6	9
и т д	2	4
в отношении к	7	2
с самим собою	7	5
не может быть	6	4
и не может	2	4
уже говорили что	2	2
как и все	2	4
в этом смысле	4	2
в творчестве достоевского	3	2
то же время	12	5
в произведениях достоевского	2	3
