3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram
именно в том	2	2
в конце концов	2	3
и в самом	2	2
до тех пор	2	2
стороны он видит	2	2
то что в	2	3
на то что	16	6
для того чтобы	19	19
и если мы	4	2
о том что	6	10
то что он	3	3
сам по себе	3	2
в сущности говоря	8	2
одной и той	2	2
тех пор пока	2	2
с таким образом	2	2
друг с другом	3	4
на самом деле	2	5
заключается в том	6	3
легко показать что	2	2
все то что	2	11
мы видим что	3	2
если бы мы	2	2
то что мы	2	3
в том что	14	12
к тому что	6	5
так как это	3	3
вместе с тем	3	2
мы никогда не	2	3
в самом деле	5	7
не только не	4	2
сами по себе	2	3
с точки зрения	2	4
с самого начала	3	5
и той же	2	2
так же точно	5	5
то же самое	3	6
и что в	3	3
с другой стороны	5	2
можно было бы	3	4
таким образом что	3	2
и т п	3	3
сводится к тому	2	2
потому что он	2	2
с одной стороны	12	3
и т д	3	2
как это делает	2	2
никак не может	3	2
совершенно ясно что	5	3
он говорит что	2	2
так же как	2	3
до сих пор	5	3
в том чтобы	2	3
