3gram	Vinokur_KulturaYazyka_partition_part3_wordlist_3gram	Vinokur_KulturaYazyka_partition_part2_wordlist_3gram
было бы привести	2	2
т п в	2	3
т п но	2	3
и в самом	2	4
для того чтобы	8	11
в отличие от	2	2
не говоря уже	2	2
в зависимости от	4	7
в свое время	2	2
на самом деле	2	3
т п а	2	2
дело не в	2	2
говоря уже о	2	2
карпинский и сосновский	2	2
т е на	2	2
только в том	2	2
в том что	10	8
не только в	4	3
в области языка	2	2
того или иного	2	3
то или иное	2	2
в самом деле	7	11
с точки зрения	8	16
в русском языке	9	2
и тем не	4	3
тем не менее	5	9
в газетной речи	4	2
в этом случае	2	4
в нашем смысле	2	2
с другой стороны	7	3
сплошь да рядом	2	2
можно было бы	9	10
то обстоятельство что	7	3
т п и	2	4
и т п	24	41
письменной речи в	2	2
и т д	14	8
в связи с	3	4
в том случае	2	4
не может быть	4	3
