3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_3gram
эгоцентрическая речь ребенка	4	7
развитии мышления и	2	2
детской речи и	2	2
эгоцентрической речи ребенка	2	6
в развитии мышления	4	6
на то что	6	3
во всяком случае	6	3
по сравнению с	5	5
для того чтобы	10	15
в собственном смысле	3	5
особенности детского мышления	3	2
о том что	4	6
в зависимости от	6	2
смысле этого слова	3	3
с таким образом	3	3
друг с другом	2	4
в другом месте	2	6
заключается в том	7	6
мышлением и речью	5	2
в теории пиаже	5	3
на этот вопрос	5	2
на всем протяжении	2	2
речь идет о	2	2
мы могли бы	4	5
по отношению к	5	7
мышление и речь	2	2
об эгоцентрической речи	2	3
в том что	21	15
сам с собой	2	2
мышления и речи	9	31
в этом отношении	3	4
что эгоцентрическая речь	3	10
пиаже полагает что	2	2
в самом деле	4	2
речи и мышления	3	9
на вопрос о	2	2
с точки зрения	18	18
является то что	2	2
из того что	4	5
как уже сказано	2	6
то же самое	2	3
мы не хотим	2	2
развитии детского мышления	5	2
по существу дела	2	2
в данном случае	3	2
только тогда когда	2	2
том что в	2	2
нам думается что	2	5
в высшей степени	7	4
можно было бы	5	3
а с другой	4	2
мы не станем	2	4
детского мышления как	2	2
между мышлением и	5	2
с одной стороны	7	8
друг от друга	2	3
не может быть	6	5
в развитии детского	5	2
в пользу того	2	3
в том чтобы	4	3
развития детского мышления	7	2
