3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part5_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part6_wordlist_3gram
материалы показывают что	2	2
в русской сказке	6	3
в ином мире	6	2
после того как	2	3
что и в	2	2
о том что	4	4
т е в	2	3
к заключению что	3	3
но все же	2	4
в египте в	2	2
неи в этом	2	3
с представлением о	2	2
как и в	2	2
по отношению к	2	2
в том что	5	2
здесь мы имеем	4	3
вместе с тем	3	6
не только в	4	2
о том как	3	2
мы не будем	2	2
но так как	3	2
в этом случае	6	7
но и в	2	2
в данном случае	3	2
с другой стороны	8	8
в некоторых случаях	2	2
и т д.<неи	2	2
потому что он	2	2
с одной стороны	7	7
и т д	8	18
в книге мертвых	2	2
за тридевять земель	3	3
все эти материалы	2	3
не может быть	3	3
до сих пор	4	2
в иное царство	5	4
мы видели что	3	2
