2gram	Potebnia_Myslijsyk_partition_part3_wordlist_2gram	Potebnia_Myslijsyk_partition_part2_wordlist_2gram
связи с	6	2
так же	2	3
со стороны	3	3
за собою	2	2
на нас	3	2
с нею	2	2
для нас	31	20
одно и	2	5
к мысли	2	3
внутренняя форма	4	15
мысли о	4	2
с этим	7	6
или что	2	3
и как	6	5
что слово	2	7
того как	7	4
том смысле	4	3
не дает	2	2
может стать	2	2
заключить что	2	2
остается только	2	2
слова но	2	2
зависит от	2	6
что они	5	2
в целом	3	3
как бы	9	3
себе представить	2	3
точки [зрения]	2	4
для говорящего	2	3
что в	16	17
уже не	4	6
и проч	10	16
этого не	2	3
той же	3	2
восприятий и	2	4
могла бы	3	2
внутреннею формою	4	3
с другими	5	5
было бы	13	9
смысле этого	3	7
в нас	3	2
таким образом	11	14
а в	8	12
вместе и	5	5
из себя	2	2
очевидно что	3	5
сознании и	2	2
имеет для	3	3
только потому	2	3
в других	4	2
это содержание	2	5
но только	2	2
на мысль	3	4
steinthal с	2	6
что только	2	6
на него	3	3
состоит не	2	3
нам кажется	4	2
в себе	10	16
и тогда	3	3
только в	11	21
первобытный человек	2	2
отношении к	2	2
не имеет	6	6
не то	2	3
к другой	2	3
звука и	10	2
на предмет	2	2
если не	4	4
и это	2	4
более или	8	3
и его	2	4
в животном	2	3
внутреннюю форму	3	5
языка мы	2	2
не может	12	6
но что	2	2
не есть	6	17
и если	4	2
не знаем	2	3
по себе	15	16
или же	7	4
и тем	3	5
в них	5	5
мере того	4	3
быть не	3	2
тем что	7	7
перед собою	2	2
а только	8	3
же время	2	5
и следовательно	2	3
в котором	4	4
для меня	4	4
слова в	5	7
быть только	2	4
слова для	2	3
в том	18	32
этот звук	4	3
в человеческой	3	3
и действия	2	2
все же	5	2
а к	2	3
содержание слова	2	2
в сознание	10	7
мысли а	2	4
относится к	3	4
в природе	5	2
по мере	5	4
что это	3	4
и при	3	4
его в	3	3
в словах	3	3
так и	5	11
одной мысли	4	2
понимать себя	2	2
и в	24	30
не можем	6	3
вместе с	11	12
другой стороны	2	4
все это	2	4
при этом	13	3
в сознании	23	15
уже в	5	5
что мы	11	8
и наоборот	5	4
языка и	3	2
все что	3	4
звук и	6	3
тому как	4	5
что он	4	6
столь же	5	4
с тем	4	7
только тогда	3	9
мысль о	7	5
место в	4	3
к ней	2	5
в этом	8	10
должно быть	2	5
мысль об	2	2
бы ни	5	3
от них	3	2
но мы	3	2
еще не	4	5
в то	6	10
с каким	2	2
в самом	4	8
души и	4	2
только один	4	2
что для	3	4
до сих	4	3
слово как	2	5
то и	9	6
т п	3	2
образ предмета	4	2
бы быть	3	2
связь между	2	2
так например	3	2
т с	18	22
нашей мысли	8	4
и не	19	15
за пределы	2	2
слово с	2	2
членораздельный звук	9	3
такое же	2	3
мы можем	12	3
в одном	6	2
так в	4	2
не как	3	2
бы в	2	2
но и	9	19
себя и	2	4
того чтобы	2	3
предмета в	2	2
для того	5	4
в собственном	2	2
потому что	49	46
в которой	5	3
в каждом	2	3
объективное значение	5	2
слова и	3	5
в слове	13	32
в его	2	4
с ним	5	6
тем самым	4	7
во время	4	2
говорит гумбольдт	3	5
в каком	3	5
согласно с	3	2
мы не	11	9
одной и	2	4
указывает на	2	6
этого слова	6	11
в ней	3	8
сравнительно с	4	5
но вместе	2	4
же в	5	2
не было	6	4
это последнее	4	2
по отношению	2	5
можно думать	2	3
прибавить что	2	3
или в	2	3
в звуке	10	4
что язык	2	2
как при	3	2
говоря о	3	4
а с	2	2
а потому	5	6
далеко не	3	4
в какой	2	2
заметить что	6	3
чувственных восприятий	3	7
в действительности	2	5
настолько насколько	3	3
что такое	2	2
при таких	3	2
что например	2	3
что вообще	2	2
в нем	9	9
оно не	3	4
что она	3	3
что ни	2	2
с в	2	2
прежде всего	7	3
но это	3	6
таком случае	2	2
но не	12	7
то есть	30	34
если бы	11	12
и т	6	5
независимо от	9	5
для него	10	9
что оно	4	11
новое восприятие	4	5
у него	2	2
этого последнего	3	2
по крайней	5	5
человека и	3	5
в ряду	6	3
одним словом	4	2
что хотя	4	2
разница между	2	3
не все	2	4
что с	2	2
так что	10	7
так сказать	4	2
новыми впечатлениями	2	2
в таком	4	3
только по	3	5
в звуках	4	2
в мысли	5	2
и притом	3	2
все остальные	5	3
с одной	4	7
самый предмет	2	2
перестает быть	2	4
от другого	3	3
душевной жизни	7	6
тем же	3	4
и той	2	2
лишь настолько	3	3
состояние души	3	2
lotze т	6	2
тогда как	10	2
внешняя форма	3	7
например в	3	6
то к	2	3
тогда когда	10	9
только как	6	5
мы видим	2	2
мы должны	2	4
что не	5	8
эти последние	2	2
то что	20	18
между собою	7	6
что все	2	3
зрения и	7	2
внешних возбуждений	2	2
том как	3	3
это было	2	3
не только	15	21
том что	8	18
могут быть	8	3
действует на	2	5
от того	5	8
а не	18	15
то это	3	6
само по	2	3
и на	8	3
есть только	6	5
думать что	3	5
сама по	2	2
в душе	23	10
воспоминание о	5	2
только звук	3	2
же что	3	6
