2gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part1_wordlist_2gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part2_wordlist_2gram
не так	2	3
такой же	2	2
никогда не	11	3
в нем	3	3
так же	5	3
сон о	2	2
в своей	6	4
так и	6	2
об этом	4	2
что она	4	2
это не	7	4
для достоевского	2	4
в современном	3	2
прежде всего	8	4
но это	5	5
и он	2	2
в одной	3	2
по сути	3	4
по нашему	4	5
и в	20	21
одна из	3	2
но если	2	3
человеческой личности	2	3
в русской	2	5
не случайно	2	4
вместе с	3	2
но не	5	3
то есть	5	12
к жизни	2	2
и т	13	3
для него	3	6
жизни в	3	6
в принципе	4	2
именно в	6	2
романе идиот	3	4
г м	3	2
все это	6	10
при этом	8	7
у него	6	7
достоевский не	5	4
что достоевский	3	7
по крайней	2	2
и наказания	2	5
м с	7	5
преступление и	2	5
человека и	3	4
и с	8	3
достоевского не	8	6
уже в	2	3
с там	9	2
с глава	2	3
ф м	3	2
не менее	2	6
в чем	4	2
что он	6	6
это уже	2	5
так сказать	2	2
так что	2	2
в черновиках	4	2
из подполья	6	13
романах достоевского	13	15
преступления и	2	5
зависит от	2	2
место в	3	3
в целом	6	4
то же	7	13
в кн	3	2
к этому	3	2
подпольный человек	3	22
как бы	11	17
в ту	2	3
чувство стыда	2	2
что в	7	12
творчестве достоевского	4	5
уже не	3	3
же с	9	2
в этом	8	6
в творческой	2	2
р г	2	2
нашему мнению	4	5
в году	16	7
в бесах	6	3
своих героев	3	3
героя и	2	2
реализм достоевского	2	2
по мнению	3	3
для автора	2	2
подпольного человека	3	11
в их	3	3
в духе	4	2
xix века	7	6
в мире	5	4
в скверном	4	3
в то	10	15
так как	3	3
у пушкина	3	2
и у	2	2
фомы опискина	2	2
м бахтин	4	6
так достоевский	3	2
личности в	2	2
в самом	3	3
отличие от	2	2
таким образом	10	5
записки из	2	6
а в	4	6
в первой	2	2
в литературе	2	2
л п	7	2
у достоевского	30	28
своего рода	3	4
сути дела	3	3
вовсе не	2	5
что я	2	3
в творчестве	5	6
преступлении и	11	4
не столько	2	2
достоевского в	9	12
романа достоевского	5	3
в соответствии	4	3
т п	2	2
в романе	15	10
не в	4	2
т ii	2	2
и не	9	7
человека в	3	6
может быть	8	5
герои достоевского	4	4
и наконец	2	2
болевой эффект	13	2
в виде	2	3
мире достоевского	3	3
скверный анекдот	3	4
о том	5	6
настасьи филипповны	4	2
скверном анекдоте	4	3
в россии	2	3
в этой	5	5
при помощи	2	2
достоевского м	3	4
я не	2	3
в себе	3	2
только в	2	5
но и	8	3
что не	3	2
достоевского к	2	3
в дальнейшем	4	3
там же	9	3
н м	4	2
соответствии с	4	3
известно что	2	2
быть может	3	2
между людьми	2	2
из них	2	2
романов достоевского	5	3
самого достоевского	2	3
творчество достоевского	4	3
представление о	7	3
достоевского это	3	4
несравненно более	2	2
как в	4	8
в записках	3	4
то что	3	8
как и	6	12
потому что	7	5
достоевского и	2	3
в которой	2	3
один из	3	4
достоевский в	7	3
назиров р	2	2
он сам	3	6
и его	9	6
когда он	4	2
самом деле	2	2
в лице	4	2
не означает	2	2
он не	3	8
не может	7	4
и далее	2	2
по преимуществу	2	2
в его	10	13
крайней мере	2	2
одним из	3	4
и наказании	10	4
с ним	3	3
не только	13	7
записках из	3	3
более не	2	2
том что	4	11
тем самым	4	7
а затем	3	2
одной из	3	4
отнюдь не	4	5
князь мышкин	6	3
в своих	3	5
иван карамазов	7	2
могут быть	2	2
а не	6	5
хотя и	4	3
достоевским в	2	4
и даже	5	3
первой части	4	3
и других	2	3
же время	7	12
отказаться от	2	2
и на	5	7
в основном	6	4
героев достоевского	5	3
в рассказе	3	3
в отличие	2	2
что его	2	2
в котором	3	6
в наше	2	2
в романах	13	13
в основе	2	2
во многом	2	7
в том	8	7
но в	4	7
п гроссман	2	2
наше время	2	2
на его	4	3
с другой	2	3
в преступлении	10	6
достоевского с	5	8
и от	4	4
м м	11	11
и по	2	3
и достоевский	4	2
все же	5	5
приводит к	2	2
в частности	2	2
