3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part3_wordlist_3gram
как мы знаем	4	2
в конце концов	2	2
вот как определяет	2	3
во всяком случае	6	5
для того чтобы	4	3
в отличие от	2	2
в зависимости от	5	3
так и в	2	3
говорит в шкловский	2	4
на самом деле	12	3
поэтической конструкции и	2	2
как мы видели	2	4
в том что	3	2
к тому что	2	2
вместе с тем	3	4
в процессе этого	2	2
в этом отношении	3	7
все без исключения	3	2
в реальном времени	3	4
в истории литературы	3	2
в большинстве случаев	4	3
до известной степени	2	3
в самом деле	4	5
в то же	7	5
сами по себе	2	2
с точки зрения	14	7
не следует что	2	2
и в то	2	3
с другой стороны	5	3
в высшей степени	2	4
и т п	5	9
и т д	6	5
в связи с	4	10
не может быть	14	10
и не может	4	3
материал и прием	2	3
в этом смысле	2	2
то же время	7	5
в поэтическую конструкцию	2	2
здесь и теперь	6	4
