3gram	Potebnia_Myslijsyk_partition_part2_wordlist_3gram	Potebnia_Myslijsyk_partition_part4_wordlist_3gram
после того как	2	2
то что в	2	2
на то что	4	3
во всяком случае	3	7
не в состоянии	2	4
для того чтобы	4	2
по мере того	4	4
сам по себе	4	4
можно думать что	2	2
только потому что	2	2
что если бы	2	2
на самом деле	3	2
не в том	2	2
по крайней мере	5	5
мы не можем	3	3
то и другое	2	4
в том что	7	7
не могут быть	2	3
от того что	3	4
между тем как	2	2
в таком случае	2	2
подобно тому как	2	4
в то же	3	2
сами по себе	2	7
что в слове	2	2
и проч но	2	2
тем не менее	4	5
а между тем	4	4
только тогда когда	4	2
и т п	4	3
само по себе	5	2
и т д	3	3
заключает в себе	8	4
не может быть	5	2
но тем не	2	3
в том смысле	2	4
то же время	3	2
до сих пор	4	4
мере того как	4	4
