2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part2_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part1_wordlist_2gram
мы имеем	13	15
к чему	3	2
связи с	4	8
наряду с	3	6
никогда не	14	15
как будто	4	3
по мере	2	3
так же	7	13
что это	8	6
не совсем	3	3
мы в	2	2
в нем	2	7
на смерть	2	2
его в	6	10
так и	9	5
об этом	4	11
видели что	3	3
можно было	5	5
что она	5	5
это не	7	2
в лесу	8	15
в свете	2	2
прежде всего	10	5
но это	4	4
и обряд	4	2
очень часто	3	4
и в	28	15
одна из	2	2
но если	2	3
но не	5	2
в русской	2	5
она дает	2	2
вместе с	6	7
в избушке	2	9
в немецкой	2	2
в силу	5	2
этих случаях	2	10
к тому	6	5
сказке в	3	3
в качестве	5	3
и т	25	19
перед нами	3	2
на крыльцо	2	2
для нас	13	4
должен был	3	3
здесь не	4	2
именно в	3	2
другой стороны	5	2
все это	4	3
при этом	3	4
детей в	3	8
живет в	2	2
связь с	4	4
обряд посвящения	2	9
в царство	7	7
и другие	4	4
с этим	4	5
и с	4	4
что герой	9	5
очень разнообразны	3	2
к которому	5	5
сказка сохранила	9	2
самого начала	2	2
что мы	7	3
того что	4	3
того как	3	4
не все	4	2
что он	10	24
показывает что	3	4
так что	4	6
не знает	5	2
и эти	3	2
или на	3	4
пока не	2	4
возвращается с	2	2
здесь можно	2	5
в иной	4	5
зависит от	2	2
что они	5	10
дома не	2	3
с тем	4	9
см неи	3	5
то же	12	10
не знают	3	2
как бы	2	6
в иное	4	5
представляет собой	4	5
и их	3	2
в руки	3	2
что в	12	12
сих пор	5	7
в этом	8	11
представления о	3	5
некоторое время	2	2
его и	2	4
видим что	9	5
в мифе	2	2
в обряде	3	7
нет необходимости	2	2
к яге	2	5
дремучий лес	2	3
с одной	4	4
к сказке	3	2
здесь в	2	2
он в	2	3
в их	3	3
куда ты	2	2
этого мотива	2	5
еще не	7	9
видно что	6	6
и для	4	2
т е	10	29
они не	4	4
так как	6	14
нисколько не	2	2
в тех	2	2
очень много	3	8
было бы	7	5
другими словами	4	4
синяя борода	2	2
и др	7	4
в избушку	5	4
этого обряда	5	2
таким образом	8	7
а в	7	12
пор мы	2	2
ее в	5	2
пути в	2	2
до сих	5	6
на нее	2	2
на то	4	3
момент когда	2	2
вопрос о	5	4
а именно	4	3
неи но	2	2
ж ст	2	6
представляют собой	6	3
на вопрос	2	2
например в	5	2
из дома	6	4
установить что	4	3
показывают что	5	2
все эти	4	4
книги мертвых	2	2
в лес	8	27
в некоторых	2	2
попадает к	2	4
точно так	3	6
как это	3	3
во всех	2	2
о нем	2	4
увидим ниже	2	4
не в	9	7
это так	4	2
но все	4	5
отношению к	3	3
и часто	2	2
мы видим	11	8
находится в	4	2
царство мертвых	5	6
всех этих	2	3
и не	9	11
может быть	25	17
на него	4	5
только с	2	2
мы знаем	4	11
в одном	5	5
о том	9	3
так в	4	3
в этой	6	4
при помощи	2	2
обряда посвящения	2	3
по существу	5	2
в связи	4	5
с самого	2	2
я не	3	2
в тридесятое	2	3
в себе	2	4
мы должны	13	4
вход в	6	6
что здесь	5	4
только в	11	6
не просто	3	2
не будем	5	4
но и	10	14
и когда	2	2
в другом	3	9
дело не	5	4
мы здесь	3	6
более ранних	3	2
из них	3	2
как он	2	3
когда мы	2	2
то мы	4	2
выше мы	3	3
в доме	2	3
в этих	7	11
что и	6	6
как в	2	5
то что	9	12
как и	4	2
обряду посвящения	2	3
увидим что	5	3
мы увидим	10	8
потому что	4	9
мы видели	2	2
т д	22	18
в очень	2	3
право на	2	3
один из	4	8
в особенности	2	2
будто бы	3	2
и здесь	7	9
что этот	2	3
он должен	2	2
был бы	2	2
и пр	4	7
что яга	3	6
и его	3	3
и только	2	2
когда он	6	3
сказки с	6	2
ни один	6	2
он не	2	8
не может	15	5
умершую жену	3	3
русской сказке	2	6
в его	5	6
и она	2	3
и если	2	2
не только	12	18
том что	7	7
а затем	2	2
одной из	2	4
во время	3	2
этот материал	3	2
мере того	2	2
ко мне	2	2
могут быть	4	2
попадает в	5	5
тем что	3	4
а не	15	5
же как	2	5
раньше чем	4	3
мы не	10	3
их в	5	2
должны были	2	8
в ней	7	4
то это	3	6
и на	4	4
в основном	2	2
это за	3	2
таких случаях	2	2
по отношению	3	3
в котором	3	5
это явление	2	2
немецкой сказке	2	2
хотя бы	4	2
или в	5	2
ничего не	2	7
не должен	5	4
на котором	3	2
иной мир	3	4
но они	2	4
охраняет вход	2	2
одной стороны	4	3
превращается в	4	2
в том	9	6
а с	2	2
иное царство	6	4
но в	8	6
в таких	2	2
неи все	2	3
здесь мы	7	3
в сказке	44	21
и что	10	6
с другой	6	2
лес и	2	6
ключ к	3	2
и по	3	2
сказать что	5	2
все же	10	9
приводит к	2	2
