2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_2gram
связи с	3	4
эти три	2	2
ходе развития	2	7
в этот	2	3
никогда не	5	4
их развития	5	2
так же	15	14
друг другу	2	3
к нему	3	3
в меру	4	7
стадии в	2	2
к тому	6	7
мере как	2	2
к мысли	4	4
по сравнению	5	9
у ребенка	9	9
с этим	3	2
этот период	2	2
самого начала	5	7
точки зрения	18	28
того как	5	2
проистекает из	4	3
же самое	4	5
отношения к	2	2
говорит что	5	2
не совпадает	2	3
необходимо должны	2	2
что они	5	10
в целом	4	5
как бы	5	6
что в	16	12
пиаже в	3	3
его и	3	2
никак не	3	5
той же	4	8
нас к	3	6
то как	3	2
учения о	2	4
иначе как	2	6
было бы	10	6
во второй	2	5
только на	2	3
таким образом	19	23
а в	3	2
в первой	2	3
форм и	2	2
речь ребенка	3	8
речи к	2	5
что если	4	2
очевидно что	2	3
когда ребенок	3	2
речь в	3	4
но только	2	3
отношению к	12	5
у нас	2	2
что эти	2	3
естественно что	2	3
как она	3	5
и другое	4	3
на пороге	4	4
с помощью	10	13
речь есть	3	6
является не	2	2
только в	10	8
имеет место	2	4
не имеет	4	2
речевого развития	3	2
сравнению с	5	8
школьного возраста	12	8
главное и	2	2
и его	3	12
мы пытались	2	8
до конца	3	5
не может	18	11
он не	8	3
могли бы	6	5
не есть	4	4
по себе	7	3
со всеми	2	2
и тем	3	6
мысли в	4	9
тем что	5	9
речь по	2	4
в новой	4	3
и следовательно	6	5
в котором	2	4
мысли и	5	11
в том	18	18
но в	6	4
но он	7	2
все же	3	6
пороге школьного	4	4
приводит к	7	4
между двумя	3	3
для ребенка	3	2
по мере	2	7
из этого	2	2
его в	2	2
так и	7	3
с точки	9	21
и в	16	26
вместе с	4	12
оба эти	4	5
отношений общности	3	2
в качестве	4	5
в такой	5	4
устной речи	24	3
все это	2	3
то в	3	2
перейти к	3	4
нашей гипотезы	5	3
и с	3	5
что мы	4	9
в центр	3	2
все что	2	6
что он	25	8
показывает что	5	2
столь же	2	2
с несомненностью	2	2
совершенно в	2	2
с тем	3	5
детской речи	2	4
мы говорили	2	2
развития ребенка	11	5
в этом	25	29
своей природе	3	4
должно быть	8	2
стороны речи	3	18
о чем	2	4
это есть	4	4
мы и	5	2
в их	3	2
но мы	5	3
еще не	4	4
в то	5	3
этой точки	4	4
пиаже и	2	2
в самом	4	9
на основании	2	2
в ходе	12	12
речь не	3	5
мышления и	4	9
отличие от	2	2
не до	2	2
пиаже на	2	2
это и	3	4
ее в	3	8
что для	2	2
до сих	3	3
связаны между	3	3
то и	2	4
письменной речи	39	3
во всех	2	6
значение в	3	2
и не	12	18
