2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_2gram
текста на	2	2
между тем	5	2
между двумя	3	4
мы имеем	6	3
как-то раз	2	2
всего лишь	4	8
в рамках	3	3
том или	3	2
ментального внутреннего	2	3
никогда не	2	3
как будто	3	3
встречи с	2	2
несмотря на	2	3
так и	4	15
в своей	6	2
для печорина	4	8
литературного произведения	41	16
с точки	4	2
свидетельствует о	2	2
прежде всего	6	3
максима максимыча	3	16
может выступать	2	2
со стороны	2	3
в данном	2	8
не о	2	2
и в	18	16
таком случае	3	2
но не	10	4
имеем дело	4	3
не случайно	3	8
того или	3	3
вместе с	4	2
если бы	3	3
то есть	11	9
еще в	2	2
к тому	7	7
в качестве	31	11
данном случае	2	5
для него	2	4
художественного впечатления	14	17
эстетический анализ	2	2
именно в	4	3
другой стороны	2	2
при этом	12	10
и одновременно	3	3
в сознании	2	4
целого в	4	2
подобно тому	3	3
особого рода	7	2
в эпизоде	2	10
художественную реальность	2	2
перед лицом	6	2
художественная реальность	8	2
того что	4	2
едва ли	2	3
точки зрения	6	4
сводится к	5	3
отношения к	2	2
себя в	6	2
объектной организации	2	10
раз случилось	2	2
текста и	8	2
или ином	3	2
столь же	4	4
тому как	3	3
была бы	2	2
читателя в	2	4
в таком	3	2
вступает в	3	2
и является	2	4
место в	3	3
в целом	5	8
то же	9	4
на этом	2	4
а также	3	7
как бы	5	10
может быть	29	6
в противоположность	2	2
представляет собой	16	8
что в	5	2
уже не	4	4
в этом	13	18
печорина в	3	4
эстетического объекта	11	3
не следует	4	2
роль в	2	2
вследствие этого	3	2
одного из	2	3
ни с	3	2
максим максимыч	2	8
лишь в	5	9
того же	4	4
лирического героя	2	5
с одной	3	5
присутствия в	2	2
романа в	2	3
совпадает с	2	4
художественной реальности	14	20
собой систему	2	2
или иного	3	3
текста а	4	2
тех или	2	2
за пределами	2	2
той же	2	2
природе своей	2	2
в их	5	3
организации текста	3	3
в мире	8	6
еще не	3	2
в то	9	2
реальности в	4	2
было бы	2	3
как уже	2	3
по природе	3	2
в самом	6	6
в ходе	3	4
отличие от	6	2
и до	2	2
таким образом	3	2
а в	9	3
художественного произведения	5	2
о предопределении	2	5
своего рода	3	12
тогда как	14	19
и читателя	2	3
эстетического дискурса	10	3
и т.п	5	8
организации художественного	3	3
как мы	2	3
вовсе не	2	2
представляют собой	2	2
иного рода	2	2
повествователя рассказчика	2	2
максимом максимычем	2	2
произведения в	11	5
не столько	2	3
художественного смысла	7	3
или иных	2	2
по выражению	2	2
не в	14	4
на основе	2	2
такого рода	5	2
отношению к	5	4
и не	21	12
чем и	2	2
в произведении	5	2
жизни но	2	2
за пределы	2	4
даже в	3	2
в себя	6	4
как правило	4	4
во времени	4	2
автора и	3	3
внутренней речи	5	4
произведения как	7	2
и все	3	3
состоит в	11	8
о том	5	7
в этой	5	9
художественного высказывания	2	2
и к	3	5
данного произведения	3	2
от которого	2	2
я и	6	3
в проекции	3	8
в себе	11	7
этом отношении	2	3
не с	4	4
только в	6	4
но и	17	12
художественного восприятия	7	2
дело не	3	2
имеет место	5	4
соответствии с	2	2
текста в	12	6
из них	2	3
коммуникативного события	14	4
и сам	2	3
что и	3	3
или иной	6	3
то что	6	7
как и	13	14
объекта и	3	2
личность в	2	2
в текст	3	2
один из	2	2
только не	2	4
от своего	2	2
в двух	2	2
внутреннего я	4	2
и его	5	4
в роли	2	2
я в	3	3
он не	3	2
не может	22	4
в его	13	2
художественное восприятие	3	2
художественного мира	2	2
как говорит	2	2
не есть	8	2
литературное произведение	12	3
с ним	4	2
семиоэстетического анализа	4	3
художественного целого	10	7
не только	15	16
по себе	4	2
том что	12	12
можно сказать	2	4
тем самым	7	4
участка текста	3	2
на себя	2	5
сотворческого сопереживания	2	2
а как	2	2
отнюдь не	15	8
жизненной позиции	2	3
самого рассказывания	2	2
могут быть	4	10
в случае	6	2
той или	6	3
а не	17	10
этого слова	7	3
на уровне	3	9
на фоне	2	3
же время	6	2
и на	5	6
в конечном	4	3
к предмету	2	2
что случилось	2	2
в тексте	5	24
собственно говоря	4	2
и то	2	3
факторов художественного	6	6
в отличие	6	2
особенно в	2	7
по отношению	6	4
в котором	3	2
литературоведческого анализа	3	2
текста но	3	2
субъектной организации	3	6
организации литературного	3	2
и адресата	2	2
при всей	2	3
тому же	4	4
одной стороны	3	4
в том	27	12
иначе говоря	9	11
но в	8	6
мне как-то	2	2
на его	2	3
с другой	4	6
конечном счете	4	2
в сущности	6	4
в нашем	3	3
того и	3	2
в пределах	2	9
в частности	19	16
