4gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_4gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_4gram
житейских и научных понятий	2	5
развития научных понятий в	2	2
тех и других понятий	2	4
одной и той же	4	3
понятий в школьном возрасте	2	2
заключается в том что	13	5
общего к частному и	2	2
мы могли бы сказать	2	2
спонтанных и научных понятий	2	2
у одного и того	2	2
и того же ребенка	2	2
могли бы сказать что	2	2
одного и того же	5	4
между обучением и развитием	2	5
состоит в том что	3	2
