3gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_3gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_3gram
ii кн vii	12	8
в других местах	7	2
после того как	2	2
и м снегирев	7	9
о том что	4	4
и в других	4	4
е в аничков	5	5
с в максимов	8	3
и п калинский	4	5
в xix в	3	10
м снегирев сообщает	4	3
мы не можем	2	3
не что иное	2	2
в том что	18	15
вместе с тем	4	6
в и чичеров	2	13
и многие другие	2	2
на ивана купалу	6	3
в советское время	3	2
это показывает что	3	2
мы не будем	2	2
п калинский пишет	2	2
тем не менее	2	3
и п сахаров	7	5
в этом случае	6	5
шейн i ч	9	3
по этому поводу	2	2
сахаров ii кн	12	8
как уже указывалось	2	3
сообщает что в	6	2
все это показывает	3	2
и т д	5	9
д к зеленин	3	5
во многих случаях	2	2
а а макаренко	2	6
п в шейн	10	7
что иное как	2	2
в этот день	10	8
а н афанасьев	3	4
в другие сроки	3	3
на новый год	3	2
состоит в том	13	8
а а терещенко	4	3
