2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part1_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part4_wordlist_2gram
между тем	2	5
и этим	3	2
из этих	3	2
голосов в	7	3
но конечно	2	2
никогда не	6	5
в художественном	2	2
в нем	17	20
так же	3	6
и старается	2	2
можно было	2	3
если же	5	2
есть в	6	3
в своей	3	11
к нему	5	3
так и	4	10
тем как	2	4
это не	5	10
для достоевского	2	6
с точки	9	15
прежде всего	9	7
из одного	2	4
раз и	4	3
но это	6	5
в одной	2	4
в данном	2	2
и в	46	23
но не	4	8
одна из	2	2
в процессе	4	4
вместе с	2	2
то есть	40	24
если бы	3	10
но эти	4	2
она не	3	5
все в	2	6
перед нами	12	4
для него	2	15
для нас	2	3
другой стороны	3	2
все это	6	7
при этом	5	3
у него	5	6
и одновременно	2	3
себя как	3	5
как нам	2	2
в результате	2	4
если уж	2	2
этот вопрос	2	2
художественного видения	2	12
и другие	3	2
и с	7	4
уже в	4	5
да и	4	2
и как	2	8
поэтому и	2	2
себе еще	2	2
в отношении	3	2
точки зрения	11	21
делая его	2	2
отношения к	2	2
себя в	3	3
не дает	2	3
все что	2	3
что он	6	10
в своем	3	8
так сказать	5	3
сами по	2	3
но для	3	2
в большинстве	9	2
слова но	4	2
романах достоевского	7	6
то же	6	10
и показать	2	2
как бы	19	28
и их	3	2
между ними	10	2
сих пор	8	2
что в	4	8
произведениях достоевского	3	5
творчестве достоевского	2	5
уже не	4	8
в которых	2	2
в этом	16	25
одной плоскости	2	3
в жизни	5	6
этом смысле	2	9
отличается от	3	2
героя и	4	5
лишь в	2	3
должна быть	2	2
кроме того	4	3
героя в	3	4
никак не	3	2
себе самом	5	6
него в	3	2
той же	3	6
в их	4	3
в духе	2	3
видения и	2	8
в мире	3	7
и о	3	3
еще не	7	5
в то	5	10
и для	3	3
они не	2	3
так как	5	7
как раз	7	4
точек зрения	4	3
было бы	3	6
в самом	9	8
авторского слова	2	7
отличие от	3	2
таким образом	4	11
а в	2	7
в первой	2	2
у достоевского	16	24
его творчества	3	7
до сих	8	2
или к	2	2
вовсе не	9	8
и т.п	14	3
достоевского но	3	8
то и	2	2
вопрос о	2	4
как мы	12	5
произведений достоевского	6	7
например в	4	3
он и	4	5
все эти	4	8
жизни и	5	6
его к	2	4
не могут	3	6
достоевского в	8	19
слово о	4	2
в романе	6	11
во всех	5	5
о нем	6	11
не в	10	6
друг с	5	3
в плоскости	2	4
отношению к	5	11
но все	2	4
сознания и	2	3
себе и	3	3
себе самому	4	3
лишь как	2	5
за пределы	5	6
и не	27	34
может быть	23	21
с собою	2	2
ни в	6	3
в себя	4	3
на него	3	2
автора и	2	5
и наконец	4	5
мире достоевского	2	5
одном из	2	2
слово героя	3	6
о себе	5	9
большинстве случаев	8	2
и все	9	3
к себе	6	2
в одном	11	9
о том	5	2
в произведениях	2	2
и во	3	2
в этой	3	4
более того	3	3
не как	3	12
по существу	3	4
и к	9	4
нам кажется	5	4
то перед	4	2
в себе	7	5
от автора	2	3
только в	6	8
бы в	3	3
себя и	3	2
но и	12	11
его жизнь	2	2
отношении к	2	2
для понимания	2	3
материал и	2	2
но именно	3	4
сказать что	2	5
остается в	2	2
как он	3	2
романов достоевского	2	12
самого достоевского	2	6
и сам	5	2
творчество достоевского	2	3
в этих	4	2
что и	3	5
как в	4	6
творчества достоевского	2	7
слово в	6	2
вне его	2	2
в последний	2	2
то что	4	18
как и	12	8
потому что	4	12
следовательно и	2	2
достоевского и	2	12
в каждом	6	8
зрения и	2	2
с другом	5	3
и это	3	5
рядом с	5	13
и здесь	4	3
он сам	2	3
и его	6	13
самом деле	4	5
в пределах	10	9
до конца	4	5
к другому	5	2
он не	4	4
не может	19	11
здесь с	2	3
в его	9	24
одним из	3	8
не могли	2	2
в той	3	6
с ним	2	6
с его	5	6
не только	14	13
по себе	7	7
том что	4	9
можно сказать	4	2
мы уже	3	2
на этот	2	2
и тем	2	2
на себя	4	3
а как	2	6
и само	2	2
тем что	3	3
а не	11	20
их в	3	2
мы не	4	2
в единстве	3	7
этого слова	2	2
и даже	3	3
и других	4	5
кажется что	3	3
бы и	2	4
же время	5	7
он есть	2	3
и на	11	10
во всяком	2	4
героев достоевского	3	3
в условиях	3	2
не было	2	3
самим собою	3	2
с ее	3	2
в отличие	3	2
его как	2	5
ведь это	3	2
по отношению	5	11
в котором	5	2
в самой	5	7
в конце	3	5
в романах	5	7
мысли и	2	2
хотя бы	2	2
ничего не	2	6
героя с	2	2
там где	2	6
в том	9	11
но в	6	4
другого человека	3	4
конечно и	3	4
с другой	3	2
диалогические отношения	15	3
но он	3	2
друг друга	6	3
в сущности	7	5
и по	2	2
все равно	2	2
все же	4	5
приводит к	4	3
