3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram
к внутренней речи	3	2
не до конца	2	2
в свою очередь	2	3
по сравнению с	7	5
для того чтобы	18	14
о том что	4	4
в отличие от	2	2
в сущности говоря	2	4
пороге школьного возраста	4	4
в той мере	2	3
и то что	3	2
на пороге школьного	4	4
связаны между собой	3	3
того чтобы сделать	2	2
в такой же	3	3
друг с другом	2	7
заключается в том	4	5
в меру того	3	2
то время как	2	4
в устной речи	3	3
мере в какой	2	3
на всем протяжении	4	2
именно в этом	2	2
мы могли бы	4	6
по отношению к	5	12
то и другое	3	2
как мы видели	3	2
в том что	13	11
мы нашли что	3	2
в то время	2	4
вместе с тем	4	2
так как она	3	2
в этом отношении	3	5
с этой точки	4	4
том что он	2	2
в самом деле	4	2
не только не	9	3
не иначе как	2	2
все эти три	2	2
с точки зрения	21	9
с самого начала	7	5
таким образом в	2	2
из того что	2	4
то же самое	5	4
в этом случае	14	3
такой же мере	3	3
этой точки зрения	4	4
в той же	2	2
можно сказать что	3	5
в известном смысле	2	7
в этот период	2	2
же мере как	2	2
том что в	2	2
той мере в	2	3
в лучшем случае	2	3
своей психологической природе	2	2
по своей психологической	3	2
с одной стороны	5	3
той же мере	2	2
потому что он	2	5
друг от друга	2	4
не может быть	4	3
в ходе развития	7	2
приводит нас к	2	2
же самое что	2	2
так же как	7	7
развития научных понятий	2	2
до сих пор	3	3
стороны речи и	2	2
могли бы сказать	2	2
состоит в том	3	3
