2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part6_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_2gram
большей частью	3	2
представлений о	2	7
мы имеем	7	14
и этим	2	5
относится к	3	2
в античности	4	4
из этих	3	4
случай когда	2	2
эти случаи	2	2
это мы	2	2
наряду с	3	3
никогда не	2	13
что это	2	2
в нем	2	8
так же	18	2
видели что	3	3
его в	9	5
так и	10	5
что она	3	3
в своей	4	3
это не	5	4
после того	2	2
сказке герой	3	5
в форме	2	2
но это	3	4
в одной	3	2
коня и	8	3
в данном	3	3
и в	26	26
одна из	2	2
но не	5	2
и он	3	4
в русской	3	6
стоит на	2	2
вместе с	6	8
если бы	2	3
сказке в	2	2
в качестве	7	3
она не	3	3
перед нами	3	2
данном случае	3	3
сказка не	2	2
и т	27	10
для нас	3	2
здесь не	4	2
ни одной	2	2
другой стороны	4	8
у него	5	7
при этом	3	3
знаем что	7	2
на берегу	2	3
живет в	2	2
связь с	12	11
связан с	3	6
связана с	2	3
в царство	2	11
иногда это	2	4
с этим	2	2
с конем	7	2
и с	5	6
и другие	3	3
с представлением	3	2
что герой	2	2
однако в	2	2
и как	5	2
что мы	3	2
интересно что	4	2
на земле	3	4
того что	2	2
речь будет	2	2
того как	4	3
все что	4	4
что он	10	9
показывает что	10	3
так что	2	3
в своем	2	2
главным образом	2	3
но для	2	2
с появлением	4	6
здесь можно	2	7
есть и	2	4
что они	6	2
с тем	2	4
то же	8	5
к этому	5	3
а также	3	4
как бы	3	4
представляет собой	2	2
в иное	7	5
человеком и	2	2
попасть в	2	4
что в	14	12
в руки	3	2
сих пор	5	4
уже не	5	7
у якутов	3	5
в которых	4	2
в этом	7	12
представления о	3	10
и там	2	6
же представление	2	2
в мифе	2	4
не всегда	6	4
должна быть	2	3
нет необходимости	3	2
о чем	3	2
греческом мифе	2	2
не могло	2	2
к сказке	4	2
совершенно ясно	2	4
героя в	7	2
видели как	2	3
этого мотива	3	4
но мы	3	2
еще не	6	9
нас к	7	5
т е	18	22
герой получает	4	2
что иное	3	2
этом случае	3	6
имеем и	2	3
так как	9	18
в тех	4	3
было бы	2	2
другими словами	2	3
к своему	3	3
и др	5	2
представлением о	2	2
таким образом	10	12
а в	8	3
случаи когда	2	2
вопрос этот	2	2
до сих	5	4
тогда как	4	2
на то	3	2
уже выше	2	2
на том	2	8
как мы	5	4
а именно	3	9
вопрос о	4	3
имеется в	2	3
вовсе не	4	2
все эти	3	8
например в	3	7
в африке	3	5
в других	2	4
установить что	2	2
показывают что	2	5
в некоторых	5	2
точно так	5	2
как это	3	5
он становится	2	2
не в	5	3
земли и	2	2
но есть	2	3
некоторых случаях	4	2
так например	2	3
в фольклоре	2	2
у нас	2	5
имеем в	2	4
но все	5	2
со змеем	2	4
сказке о	3	3
мы видим	6	5
или он	3	2
и не	9	10
даже в	4	2
его с	2	3
может быть	14	11
ни в	2	2
на него	3	2
в виде	2	6
мы знаем	8	2
мы можем	6	7
к себе	3	2
в одном	5	3
мы рассмотрим	7	3
с собой	5	2
так в	4	6
о том	4	7
в этой	2	2
при помощи	10	3
аф вар	3	4
е в	3	2
приводит нас	4	2
в тридесятое	4	4
в себе	2	3
мы должны	5	2
меня и	2	3
тридесятое царство	4	6
что у	3	2
что здесь	7	3
только в	3	5
но и	12	9
с водой	4	2
он иногда	2	3
известно что	2	2
как он	6	6
не имеет	3	2
в этих	7	2
что и	9	4
как в	7	6
то что	16	6
как и	7	5
увидим что	2	2
таким же	6	3
потому что	6	13
мы видели	6	11
т д	24	8
неи в	4	4
нам необходимо	2	2
этот случай	9	6
в мифах	2	4
том как	2	3
царства мертвых	2	5
что этот	4	2
с этой	2	2
можно указать	2	2
и его	10	7
и только	5	3
когда он	6	3
с переходом	2	3
в лице	2	2
с ними	5	2
не может	6	6
он не	7	2
это объясняет	2	3
русской сказке	4	6
в его	5	5
превратился в	2	3
в образе	3	10
и то	6	3
не есть	2	2
случаях когда	3	3
не только	15	10
том что	3	10
мы уже	5	6
и они	2	2
и тем	2	4
или же	3	2
могут быть	6	3
попадает в	3	3
от того	2	3
тем что	5	5
тридесятого царства	2	6
тех случаях	2	3
же как	13	3
а не	6	2
из которых	5	3
их в	7	3
и других	3	3
то это	5	5
и действительно	3	3
т д.<неи	3	2
и на	2	12
в греческом	2	2
только одна	2	3
только что	3	2
является и	3	3
эта связь	5	6
этот мотив	4	5
на небо	7	8
или в	3	3
предположить что	6	3
ничего не	5	2
на котором	3	3
дает нам	4	2
иной мир	6	3
frobenius б	3	2
в северной	2	2
там где	3	5
превращается в	7	7
в том	3	12
иное царство	6	6
но в	5	7
здесь мы	2	4
в сказке	47	23
и что	5	5
на его	3	4
как указано	2	3
с другой	4	10
и вот	2	3
но он	4	2
власть над	11	7
от него	2	3
и по	5	4
сказать что	2	3
все же	9	8
можно наблюдать	2	2
в частности	2	3
