2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram
или не	2	3
ведь если	4	2
связи с	5	5
разного рода	4	6
так же	5	9
к нему	2	3
без всякой	5	2
в данном	10	9
того или	7	2
и понятие	2	2
к тому	3	3
перед нами	2	5
есть отражение	3	2
для нас	9	5
в настоящее	16	3
совсем не	7	4
о которых	3	3
в результате	4	2
с этим	5	3
и как	4	6
едва ли	9	2
точки зрения	2	3
же самое	6	9
знак есть	11	2
от нас	3	3
нет и	3	2
что они	3	3
как бы	4	14
что в	11	12
во многих	2	2
уже не	8	3
этом смысле	5	6
определенным образом	2	3
себе что	2	2
кроме того	5	2
или как	2	3
но как	6	6
предмет обозначения	4	4
все другие	2	2
тех или	3	3
никак не	11	4
и о	4	8
имеет ничего	2	2
акт обозначения	4	4
есть ни	3	5
с другими	5	2
заставляет нас	2	2
в него	2	2
было бы	8	8
только на	9	4
таким образом	4	6
а в	4	4
пор мы	2	2
что если	4	2
этой области	3	2
по этому	3	3
и обозначаемого	2	3
это только	3	2
но только	4	2
у нас	18	14
уж тем	5	2
всех этих	4	7
как нечто	2	8
в связи	5	4
в себе	5	15
которые в	2	2
является не	2	2
только в	14	7
не будем	4	2
уже давно	5	2
не имеет	7	2
не то	2	2
или иной	5	5
а это	3	2
и которые	2	5
в науке	3	2
если не	4	4
и это	5	9
есть именно	5	5
более или	4	3
и только	4	4
то на	2	2
не может	13	8
он не	2	3
это тоже	3	2
не есть	33	29
говоря уже	4	2
и если	3	6
по себе	8	15
или может	2	2
и тем	4	13
содержит в	2	7
в них	2	7
обозначения и	6	4
нашего исследования	3	2
тем что	4	7
хотя и	3	6
а только	6	5
говорим о	3	2
собственно говоря	2	2
и следовательно	4	3
ведь это	2	2
так или	6	2
не существует	6	6
в том	12	9
но в	6	14
все равно	3	5
и ее	2	8
общего между	2	5
вообще не	4	2
как будто	6	3
и при	2	2
знак то	4	4
его в	3	6
так и	7	12
об этом	2	10
говорить о	10	6
не о	6	2
является в	2	2
и в	35	32
не будет	11	2
не можем	4	2
вместе с	2	2
в качестве	2	2
она не	3	2
здесь не	2	7
ли сказать	2	2
нас в	3	2
другой стороны	5	3
все это	4	7
при этом	3	6
знак который	2	3
и ни	3	4
и с	10	2
не являются	3	5
уже в	3	3
да и	10	3
что мы	14	13
гораздо более	4	2
не нужно	3	3
и уж	5	2
определенного рода	6	2
же и	2	3
тому как	3	2
что он	4	7
предмета и	3	2
на первый	4	2
также и	12	11
с тем	3	5
знак вещи	5	4
это вовсе	2	2
о знаке	11	2
оказывается что	3	2
в этом	17	19
и вполне	4	3
должно быть	2	2
пока еще	9	3
от всего	3	3
о чем	6	6
составляющих его	2	4
мы и	6	4
в их	3	4
взятые сами	2	2
еще не	10	9
в то	6	6
что иное	3	2
как раз	8	13
в самом	5	6
другими словами	6	3
мышления и	2	4
что для	3	2
которые не	2	3
до сих	4	3
уже с	2	2
то и	4	6
