2gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_2gram
связи с	3	3
никогда не	5	8
их развития	5	5
так же	11	15
к общему	2	2
в данном	2	2
к тому	6	10
для нас	4	2
собственной мысли	2	2
он имеет	2	2
по сравнению	4	15
у ребенка	13	13
между обучением	2	6
с этим	5	4
переход от	2	4
и как	9	6
снизу вверх	2	4
пути развития	5	2
точки зрения	24	13
том смысле	2	2
того как	2	5
же самое	7	6
же ребенка	2	3
понятий которые	4	4
что они	14	2
в целом	11	3
как бы	7	11
мы называем	2	2
что в	19	17
слова к	3	2
обучением и	2	5
отличается от	2	3
этом смысле	8	2
что всякое	2	2
но как	2	3
той же	6	4
образования понятий	19	2
что развитие	6	6
для развития	2	5
нас к	3	4
от понятия	2	3
в первую	4	3
иначе как	2	5
было бы	8	9
между этими	2	4
только на	2	2
таким образом	25	18
а в	2	2
убеждает нас	2	2
что если	2	2
этой области	2	2
когда ребенок	2	3
и т.д	2	3
умственного развития	8	5
общего к	2	2
приходит к	3	2
понятия как	3	12
предметов в	2	3
опирается на	2	2
в школьном	5	9
ребенка мы	3	2
причинных отношений	2	2
понятиями в	2	4
с помощью	31	13
по существу	3	2
в связи	3	2
в себе	10	4
которые в	4	4
является не	4	2
только в	10	18
не имеет	2	6
к другой	2	6
отношений и	3	2
сравнению с	3	14
школьного возраста	2	3
свою силу	2	4
и его	5	3
и только	4	3
высшую ступень	2	2
мы пытались	2	2
ребенка в	4	8
не может	6	19
могли бы	9	9
но что	3	4
детских понятий	17	5
как только	2	2
и тем	8	5
этим понятием	2	2
понятий не	3	4
нашего исследования	4	5
тем что	7	8
а только	3	2
все основные	2	2
связей и	3	2
мысли и	2	2
как показывает	2	7
неспонтанных понятий	4	2
в том	42	28
ребенка это	2	2
но в	3	5
понятий но	3	2
и между	6	2
все же	5	2
в совершенно	3	2
приводит к	3	6
к одному	6	2
в частности	5	4
между двумя	2	2
мы имеем	2	4
вообще не	2	6
для ребенка	2	6
по мере	4	3
его в	6	6
так и	5	6
от одной	2	4
с точки	11	10
видим в	2	2
и в	20	28
вместе с	8	7
не совпадают	5	4
в качестве	21	4
понятия в	8	6
исследования в	2	3
этом вопросе	2	2
как оно	2	3
нас в	3	2
другой стороны	9	2
при этом	12	3
понятий на	4	4
в сознании	4	4
представить себе	2	3
имели возможность	2	2
спонтанных понятий	10	15
не являются	3	2
к которому	3	2
другие понятия	4	2
что мы	7	11
что он	6	18
этого понятия	3	3
показывает что	2	7
не знает	2	3
развития как	3	3
понятие о	2	2
с тем	6	5
детской речи	2	5
ребенка не	7	4
развития ребенка	7	4
в этом	24	27
понятий ребенка	4	14
у одного	2	2
мы и	2	4
в их	12	3
в мышлении	21	6
еще не	2	8
понятия ребенка	8	12
в самом	6	8
в ходе	4	3
мышления и	14	7
спонтанных и	3	4
по типу	2	2
обучения в	2	4
научных и	2	7
развития понятия	3	2
на данной	3	4
связь между	2	4
на основе	10	4
мышления в	16	5
себе и	3	2
и не	8	11
мы можем	5	9
состоит в	4	2
бы в	3	3
но и	9	10
не по	2	3
того чтобы	7	10
и отношения	2	3
ребенка и	9	2
для того	5	8
понятия и	9	10
этого вопроса	2	2
научного понятия	3	10
потому что	12	22
и развитием	2	5
в которой	3	7
в каждом	2	3
только не	5	3
житейских и	2	6
когда он	3	2
что ребенок	12	13
ход развития	6	3
в его	11	3
совершается в	2	3
бы сказать	3	2
что понятия	3	2
одним из	2	2
и отношений	3	6
в той	2	4
чем в	3	2
детских слов	2	3
житейских понятий	9	12
сторона этого	2	2
раз в	2	3
тем самым	7	8
спонтанные понятия	2	6
ребенка с	4	2
мышление как	4	2
же как	6	6
раньше чем	5	2
одной и	5	3
этого слова	11	2
особенности детской	3	2
в школе	4	12
детского развития	3	3
ребенок не	2	3
ступени в	6	2
мышлении ребенка	6	4
нами выше	4	2
все более	2	2
а другой	2	5
что на	2	4
развитие спонтанных	3	2
это в	2	2
