2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part6_wordlist_2gram
и ее	3	3
мы имеем	14	19
относится к	2	2
далеко не	3	3
такой же	3	2
из этих	4	3
эти случаи	2	3
никогда не	13	3
как будто	3	2
в нем	8	9
так же	2	3
так часто	2	2
это еще	3	2
видели что	3	4
его в	5	3
так и	5	2
что она	3	5
это не	4	6
после того	2	2
прежде всего	4	3
сказке герой	5	4
но это	4	3
и он	4	2
со стороны	3	3
в данном	3	4
в одной	2	3
очень часто	5	3
и в	26	22
одна из	2	2
но не	2	7
в русской	6	3
приходит в	2	3
вместе с	8	9
если бы	3	6
стоит на	2	3
утверждать что	2	2
к тому	2	3
сказке в	2	4
она не	3	4
в качестве	3	2
данном случае	3	3
независимо от	3	2
сказка не	2	2
и т	10	16
для нас	2	4
здесь не	2	3
и некоторые	2	2
другой стороны	8	7
у него	7	3
при этом	3	2
еще одну	2	2
знаем что	2	2
живет в	2	5
связь с	11	6
связан с	6	2
герой встречает	2	2
связана с	3	3
в царство	11	4
и другие	3	4
с этим	2	8
и с	6	4
что герой	2	3
и как	2	3
того что	2	5
все что	4	3
что он	9	9
показывает что	3	5
из земли	2	4
так что	3	5
после этого	4	2
и эти	5	3
в своем	2	2
с появлением	6	4
здесь можно	7	6
есть и	4	5
что они	2	8
с тем	4	2
то же	5	6
к этому	3	7
а также	4	2
мотива в	2	2
представляет собой	2	3
сих пор	4	5
что в	12	15
говорилось выше	2	2
уже не	7	7
в которых	2	2
в этом	12	17
представления о	10	2
имеются в	2	2
и там	6	4
образом и	2	2
не всегда	4	4
могло быть	2	3
с одной	7	2
видели как	3	3
никого не	2	3
этого мотива	4	4
а через	2	3
еще не	9	10
видно что	2	2
в то	5	2
т е	22	16
этом случае	6	5
они не	3	4
что иное	2	3
имеем и	3	3
так как	18	7
в него	3	2
в тех	3	2
было бы	2	3
так на	2	2
же не	2	2
и др	2	2
на островах	3	2
себе в	4	2
таким образом	12	10
а в	3	6
эти материалы	6	2
случаи когда	2	4
ее в	6	3
этот обряд	3	2
уже только	2	2
до сих	4	5
смерть и	2	2
уже выше	2	2
на том	8	3
как мы	4	8
а именно	9	4
то и	2	6
вопрос о	3	2
вовсе не	2	2
все эти	8	4
например в	7	2
он и	2	3
в других	4	4
жизни и	2	2
в некоторых	2	5
точно так	2	2
как это	5	4
здесь и	2	2
в ином	6	6
не в	3	4
но есть	3	2
некоторых случаях	2	3
же можно	3	2
имеем в	4	4
у нас	5	4
отношению к	2	2
смерти в	2	3
но все	2	2
сказке о	3	4
мы видим	5	8
мы найдем	2	2
царство мертвых	4	3
и не	10	12
даже в	2	2
может быть	11	11
ни в	2	2
в виде	6	2
связано с	4	4
уже знаем	2	2
мы знаем	2	2
мы можем	7	6
в одном	3	2
мы рассмотрим	3	2
о том	7	3
с собой	2	2
так в	6	6
в этой	2	5
сказкой не	2	2
при помощи	3	3
что у	2	3
мы должны	2	7
тот свет	2	2
сказке она	2	4
не вполне	2	6
что здесь	3	6
только в	5	4
но и	9	12
не будем	2	3
что не	2	2
уже давно	2	2
дом он	2	2
там же	3	2
ином мире	7	4
известно что	2	2
то время	3	2
не имеет	2	2
что там	2	2
представление о	9	3
в этих	2	11
что и	4	9
как в	6	2
на землю	4	2
то что	6	7
как и	5	3
мы видели	11	13
т д	8	15
потому что	13	3
том свете	4	2
неи в	4	8
этот случай	6	8
один из	3	5
стороны и	2	3
и это	8	2
и его	7	4
в сказках	3	9
него и	3	2
с переходом	3	2
с ними	2	3
он не	2	5
не может	6	4
русской сказке	6	2
в его	5	3
и то	3	2
не только	10	14
этим объясняется	3	3
том что	10	8
можно сказать	2	2
мы уже	6	6
как только	3	2
уже видели	3	3
и они	2	4
в них	3	6
могут быть	3	5
попадает в	3	11
ту же	2	2
эти два	2	3
тем что	5	4
а не	2	6
же как	3	2
их в	3	3
должны были	2	3
в ней	5	2
то это	5	2
никто не	2	2
и действительно	3	2
целый ряд	2	3
и на	12	4
случай мы	2	2
во всяком	2	2
не было	3	2
после смерти	2	2
по отношению	2	2
вот почему	3	2
этот мотив	5	5
солнца и	3	3
или в	3	11
предположить что	3	7
ничего не	2	6
если он	3	2
все время	2	2
всяком случае	2	2
одной стороны	7	2
после чего	6	10
в северной	2	3
превращается в	7	3
в том	12	9
книге мертвых	2	2
там где	5	7
в сказке	23	50
но в	7	10
здесь мы	4	5
что сказка	3	5
и что	5	2
как указано	3	2
на его	4	3
с другой	10	7
и от	3	3
но он	2	4
власть над	7	4
от него	3	2
и вот	3	2
время как	3	2
сказать что	3	3
все же	8	5
его не	2	3
в частности	3	5
