3gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram
ли сказать что	2	2
есть не что	2	3
и не просто	2	5
в конце концов	4	7
всякий знак есть	2	5
так или иначе	2	6
а не просто	4	2
взятые сами по	2	2
не о чем	2	3
на то что	8	4
во всяком случае	3	10
то есть в	4	2
же самое время	4	4
для того чтобы	8	2
в каком случае	3	3
о том что	5	14
вовсе не является	3	3
не говоря уже	2	4
сама по себе	4	4
но если мы	2	2
и то что	2	7
на самом деле	4	2
по крайней мере	2	6
уж тем более	2	5
можно ли сказать	2	2
то что мы	6	7
и вовсе не	4	4
в настоящее время	3	16
в том что	5	4
не есть ни	5	3
который вовсе не	2	2
не что иное	2	3
необходимо сказать что	2	5
ни в каком	3	4
того или иного	2	5
в таком случае	6	10
подобно тому как	2	2
и в этом	2	3
не имеет ничего	2	2
в самом деле	2	2
не только не	3	2
когда мы говорим	2	2
в то же	4	4
только то что	4	3
содержит в себе	7	2
сами по себе	3	2
тем не менее	18	12
имеет ничего общего	2	2
даже и не	2	2
то же самое	9	5
в этом случае	2	7
ничего общего с	7	2
то во всяком	2	2
в этой области	2	3
в данном случае	8	5
каком случае не	2	2
также и то	2	2
как раз и	7	4
с другой стороны	3	5
по этому поводу	3	2
можно было бы	2	2
можно сказать что	3	3
взятая сама по	4	2
еще не есть	4	2
общего между собою	4	2
и т д	10	6
в связи с	4	5
точно так же	4	3
не может быть	2	3
а может быть	2	2
что иное как	2	3
но в таком	4	3
так же и	3	2
в этом смысле	6	5
более или менее	3	4
может быть и	3	2
до сих пор	3	4
вовсе не есть	6	10
