3gram	Losev_DialektikaMifa_partition_part2_wordlist_3gram	Losev_DialektikaMifa_partition_part1_wordlist_3gram
одно и то	4	4
той или другой	4	3
не значит что	3	3
во всяком случае	2	2
и стало быть	2	4
в каком случае	4	2
о том что	2	4
сам по себе	6	3
сама по себе	8	7
а потом уже	2	2
по крайней мере	4	9
та или иная	3	2
и в частности	2	2
в том что	7	6
не есть ни	6	6
ни в каком	8	3
или по крайней	2	2
то или иное	2	4
не нуждается в	3	3
д и т	2	2
одна и та	2	4
и та же	2	4
в то же	4	3
только то что	3	4
содержит в себе	3	3
с точки зрения	12	8
это значит что	9	8
иметь в виду	3	2
внутреннего и внешнего	6	2
тех или других	2	2
можно сказать что	3	3
с другой стороны	4	4
и т п	2	2
само по себе	5	2
потому что он	3	2
т д и	2	2
и т д	19	15
не может быть	3	3
по себе не	5	3
может быть и	3	3
более или менее	3	2
то же время	4	4
до сих пор	2	2
и то же	4	4
что в нем	3	2
миф не есть	11	19
