3gram	Losev_VladivirSolovjev_partition_part3_wordlist_3gram	Losev_VladivirSolovjev_partition_part1_wordlist_3gram
для вл соловьева	7	8
работы вл соловьева	2	4
в конце концов	3	5
вл соловьев был	7	4
на то что	4	2
вл соловьева с	5	6
с м указ	4	2
вл соловьева не	6	6
во всяком случае	2	3
сам вл соловьев	7	7
еще и сейчас	2	2
о том что	7	8
у вл соловьева	13	42
там же с	10	6
то что вл	3	4
и то что	4	4
вл соловьева но	3	4
вл соловьевым в	3	2
к вл соловьеву	4	2
кризис западной философии	2	4
а вл соловьев	2	2
критика отвлеченных начал	2	6
в те времена	5	5
вл соловьева в	15	8
в том что	7	10
соловьев никогда не	2	6
что же касается	4	5
на вл соловьева	3	2
в то время	2	4
вл соловьева о	4	5
жизни вл соловьева	4	2
по вл соловьеву	2	8
вл соловьева и	6	10
в те годы	3	2
к тому же	2	5
вопросы философии и	2	2
л м лопатин	8	7
в то же	4	3
тем не менее	2	9
что вл соловьев	9	17
самого вл соловьева	3	4
вл соловьев и	3	11
м указ соч	4	2
в году в	2	3
вл соловьев в	8	7
как раз и	2	5
философии и психологии	4	2
и потому что	3	2
также и то	2	3
вл соловьев не	2	2
с другой стороны	3	2
и в то	2	2
в истории философии	2	3
же с ]	7	5
еще и потому	2	2
том что в	3	3
вл соловьев никогда	2	7
на первый план	2	2
дело в том	4	5
только в году	2	2
вл соловьевым и	3	2
не может быть	3	6
вл соловьева то	3	8
вл соловьев всегда	3	2
вл соловьева к	3	3
в этом смысле	4	3
но даже и	2	2
с вл соловьевым	4	4
то же время	4	2
л м лопатина	6	2
вл соловьева как	2	10
более или менее	3	5
что и в	2	3
т i с	2	2
