2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram
связи с	4	9
наряду с	2	3
никогда не	4	4
их развития	2	2
так же	14	17
к тому	7	4
перед нами	2	10
для нас	2	2
по сравнению	9	4
у ребенка	9	19
с этим	2	4
что слово	2	4
самого начала	7	6
едва ли	4	2
точки зрения	28	6
того как	2	3
значения и	3	5
экспериментальное исследование	2	3
что они	10	10
в целом	5	13
как бы	6	10
что в	12	17
и речь	3	4
отличается от	3	3
одного из	2	2
той же	8	4
нас к	6	2
с другими	3	2
было бы	6	10
но всегда	2	2
смысле этого	3	4
таким образом	23	17
а в	2	4
по этому	4	3
когда ребенок	2	2
только потому	3	2
речь в	4	2
в эксперименте	2	4
но только	3	3
отношению к	5	2
что эти	3	3
как она	5	3
и другое	3	5
с помощью	13	42
этого метода	2	3
в себе	9	2
которые в	2	3
является не	2	2
только в	8	10
имеет место	4	3
речевого развития	2	2
в структуру	2	4
и которые	2	3
сравнению с	8	3
школьного возраста	8	3
и его	12	2
и только	4	2
функциональное значение	3	5
собственном смысле	3	6
речевого мышления	7	5
не может	11	6
он не	3	4
могли бы	5	11
не есть	4	3
значения слова	9	2
по себе	3	7
со всеми	2	6
что по	2	2
тем что	9	8
и заключается	3	2
связи между	5	5
в котором	4	3
слова в	5	2
в том	18	23
эти момента	2	2
в другую	3	2
структурном отношении	3	2
все же	6	6
приводит к	4	4
между двумя	3	2
для ребенка	2	10
что это	6	5
его в	2	3
так и	3	5
об этом	3	2
является в	5	3
и в	26	25
не можем	4	3
вместе с	12	14
оба эти	5	3
в качестве	5	12
все это	3	6
то в	2	3
с внутренней	5	2
уже в	2	7
что мы	9	7
в центр	2	2
все что	6	2
между мышлением	3	3
что он	8	6
столь же	2	7
показывает что	2	8
с несомненностью	2	3
с тем	5	16
детской речи	4	6
мы говорили	2	4
в этом	29	14
должно быть	2	2
мы и	2	2
в мышлении	2	11
еще не	4	4
в то	3	4
этой точки	4	2
речевое мышление	2	2
в самом	9	3
на основании	2	11
речь не	5	2
мышления и	9	23
отличие от	2	6
к выводу	3	2
то и	4	4
это положение	3	2
связь между	6	4
значение в	2	3
и не	18	10
речи для	25	2
находит свое	3	2
известном смысле	2	2
функции и	4	2
мы можем	3	7
состоит в	3	3
с самого	7	6
из основных	2	3
бы в	5	2
но и	11	4
того чтобы	19	8
ребенка и	8	17
для того	18	7
где они	2	2
потому что	16	6
в собственном	3	6
в пользу	4	5
ассоциативных связей	2	3
которых мы	2	2
слова и	10	6
что ребенок	5	7
к другому	3	2
в его	4	15
бы сказать	2	3
одним из	2	5
с ним	3	4
и речи	19	20
тем самым	8	2
ребенка с	4	3
в своих	2	2
были бы	3	3
исторического развития	3	2
в функциональном	4	10
же как	8	6
мы не	7	9
одной и	2	2
этого слова	3	4
из которых	2	5
к изучению	3	2
речь становится	2	5
в последнее	2	3
по отношению	6	3
в детском	3	4
или в	2	2
в начале	5	2
следовательно не	2	2
представляется в	2	2
в какой	6	4
значения слов	3	5
это мы	2	2
мы в	3	2
в нем	2	2
можно было	2	6
что она	8	5
в своей	3	2
в свете	4	2
прежде всего	7	4
но это	3	5
своему строению	6	2
но не	3	6
речи не	5	2
если бы	5	5
если в	4	3
для него	3	5
именно в	6	5
что оно	4	4
психологической природе	4	2
и мышление	2	2
говорили выше	2	2
что с	5	4
так что	4	2
развития в	3	2
во всем	3	3
представляет собой	19	6
и их	5	3
между ними	3	3
мы остановимся	3	2
можно ли	2	2
не мог	2	4
с которыми	2	3
с одной	5	5
совпадает с	3	6
из того	3	2
и для	5	2
детского мышления	4	8
в речи	5	2
тем же	5	4
и той	2	2
последнее время	3	3
как известно	2	3
не представляет	2	2
одним и	2	2
по своему	9	11
если мы	5	3
друг с	2	5
тогда когда	5	4
с необходимостью	2	2
мышление и	2	5
мы видим	3	3
находится в	2	2
между собой	6	13
внутренней речи	67	19
приводит нас	3	3
мы должны	6	6
не является	3	8
для этого	3	2
речи и	30	8
в этих	2	2
то что	24	15
мы видели	3	6
в области	4	7
с другом	2	5
и здесь	2	2
с этой	5	3
как говорит	5	5
заключается в	6	9
не только	24	6
мышления от	2	3
том что	17	20
могут быть	2	5
мы могли	6	9
речи но	11	2
к внутренней	6	2
который мы	2	2
отношения между	4	5
во всяком	2	4
мышления мы	3	3
на котором	3	2
этом и	2	2
внутренняя речь	15	5
ассоциативная связь	3	5
речи как	6	4
внутренней речью	8	3
и от	4	2
друг друга	4	4
того и	2	2
от одного	2	2
сказать что	8	4
мы уже	3	5
процесса как	2	2
из этих	3	4
внешней речи	18	6
как на	6	2
речи в	27	4
нами в	4	2
в процессе	5	27
в силу	5	6
на деле	2	3
процесс развития	2	2
остановиться на	2	3
в свою	2	3
моментов в	2	2
входит в	2	5
и потому	3	2
от нее	2	4
и слово	3	3
у взрослого	2	3
ребенка как	2	3
в живом	3	3
того что	14	10
слов и	2	5
в отношении	2	6
не менее	4	6
в чем	3	2
мог бы	3	4
тем не	3	5
то же	8	2
к этому	2	3
в которых	2	3
эгоцентрическая речь	28	4
выводу что	2	4
так как	14	12
же точно	3	3
с ней	2	3
бы с	2	2
речи ребенка	10	4
в известном	2	4
и вместе	2	2
психологической природы	5	2
на то	4	4
как мы	14	8
все эти	6	7
показывают что	2	5
его к	2	3
не могут	4	4
как это	5	7
а по	2	2
внимание на	2	2
не в	4	6
ребенка к	2	2
может быть	7	13
ни в	2	9
мы знаем	2	4
о том	4	5
и во	4	2
в этой	3	5
и к	7	5
своей психологической	3	2
этом отношении	3	3
свою очередь	2	2
возраста и	2	3
в года	3	2
от речи	8	3
то время	2	4
функциональном и	3	2
что и	3	10
как в	4	9
как и	15	15
в развитии	10	24
благодаря этому	2	6
один из	2	6
понятий и	2	7
развитии мышления	2	7
и то	7	2
основной и	2	2
понятия но	2	3
и другого	2	2
в случае	2	3
речь и	5	4
и других	2	2
речи есть	3	2
в основном	3	6
тому что	9	2
значение слова	13	4
с ее	2	5
по своей	10	7
в отличие	2	6
только что	5	2
в основе	3	16
одной стороны	5	5
мышления это	2	2
и что	6	10
в смысле	6	4
на его	2	2
с другой	4	6
от внешней	6	3
время как	2	4
и по	3	5
