2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram
для них	3	3
не так	2	4
связи с	5	7
разного рода	4	4
далеко не	4	4
ли в	2	2
как будто	6	3
так же	5	5
можно было	5	2
есть в	4	2
из этого	2	4
к нему	2	3
так и	7	7
об этом	2	4
его в	3	6
несмотря на	3	6
свидетельствует о	2	2
прежде всего	11	6
раз и	5	2
как о	3	4
в данном	10	2
в заключение	2	2
и в	35	30
не будет	11	2
таком случае	10	2
но не	4	7
вместе с	2	7
то есть	39	21
тот же	4	3
к тому	3	2
значение и	8	2
в качестве	2	4
данном случае	5	2
еще в	2	5
для нас	9	10
здесь не	2	7
нас в	3	4
другой стороны	5	6
тоже не	7	2
при этом	3	4
по крайней	6	4
в настоящее	16	3
настоящее время	16	3
совсем не	7	3
в результате	4	7
о котором	3	3
по поводу	2	2
и с	10	5
уже в	3	2
да и	10	2
и как	4	6
гораздо более	4	4
того что	12	3
едва ли	9	4
точки зрения	2	10
не все	4	2
в отношении	4	3
не менее	13	5
все что	3	2
что он	4	7
в своем	4	11
так что	11	11
тем не	12	5
также и	12	12
с тем	3	5
что они	3	3
только тогда	3	3
в таком	11	2
и является	3	2
то же	5	2
а также	2	3
как бы	4	6
и их	3	5
сих пор	4	2
что в	11	5
и притом	3	5
оказывается что	3	4
уже не	8	6
в этом	17	17
и вполне	4	4
бы то	2	2
человека но	2	2
этом смысле	5	3
необходимо сказать	6	4
с одной	5	3
кроме того	5	2
никак не	11	8
тех или	3	2
всякого рода	4	2
мы и	6	2
то более	2	2
от всяких	2	2
и о	4	5
еще не	10	3
в то	6	4
и для	6	6
и вообще	16	9
так как	7	6
что иное	3	3
как раз	8	5
но уже	5	2
было бы	8	4
в самом	5	5
и самого	4	3
таким образом	4	13
а в	4	6
значительной мере	3	2
как именно	3	4
до сих	4	2
в н	2	12
подобного рода	4	7
на то	6	2
по этому	3	2
вовсе не	37	8
а именно	6	12
то и	4	2
некоторого рода	7	4
как мы	5	2
без всякого	4	2
все эти	7	2
ли он	3	2
все еще	4	4
не могут	4	2
иной раз	3	2
точно так	3	3
конце концов	7	6
внимание на	3	3
в значительной	3	2
только и	3	3
не в	2	7
тогда когда	3	4
такого рода	15	2
но только	4	3
у нас	18	7
но все	2	4
об его	2	2
и не	37	12
может быть	18	7
ни в	6	4
смысле слова	7	3
на него	2	2
в виде	6	10
конечно не	2	2
даже и	18	4
мы можем	6	5
и все	5	9
говорится о	2	4
о том	18	12
в этой	9	10
при помощи	8	6
и к	3	4
в связи	5	7
иное как	3	3
в себе	5	4
нет никакой	2	3
и без	5	2
не просто	11	5
только в	14	9
но и	16	13
что не	5	2
не что	3	3
о своем	2	2
учение о	2	3
того чтобы	2	2
не то	2	2
и сам	2	4
представление о	5	2
знает что	2	3
и более	5	2
для того	3	3
тут же	8	6
то ни	3	2
мере в	2	2
что и	2	6
то что	38	18
как и	5	7
и которые	2	2
но даже	3	4
в науке	3	2
потому что	13	13
нас не	3	3
бы не	3	3
если не	4	4
один из	3	2
в области	6	2
будто бы	5	5
ясно что	8	4
том числе	2	2
он сам	3	3
самом деле	4	2
и только	4	2
он не	2	3
не может	13	5
еще более	2	3
в его	7	12
а скорее	2	2
в нашей	3	2
крайней мере	6	4
и то	10	5
не только	24	18
по себе	8	2
и речи	3	2
можно сказать	6	6
том что	19	17
на тот	2	2
отнюдь не	5	4
и тем	4	3
в них	2	2
уже и	3	2
не столь	2	3
в виду	8	3
тем что	4	2
а не	10	5
хотя и	3	8
мы не	7	2
указывает на	5	3
и даже	11	14
в ней	2	3
и на	5	6
есть только	8	3
во всяком	13	2
мыслится в	2	2
этому поводу	2	2
в конце	7	8
для себя	9	5
хотя бы	12	2
или в	2	4
ничего не	10	2
еще и	5	4
быть только	3	3
всяком случае	10	2
и тут	4	2
одной стороны	5	3
в том	12	12
вообще и	2	2
в таких	3	2
но в	6	9
и что	13	6
с другой	6	6
здесь как	2	2
сказать что	24	9
все же	8	9
в частности	5	4
