2gram	Vinokur_KulturaYazyka_partition_part2_wordlist_2gram	Vinokur_KulturaYazyka_partition_part1_wordlist_2gram
между тем	5	6
можно говорить	2	2
мы имеем	6	5
связи с	7	3
что такое	6	3
слова как	3	3
в зависимости	5	4
никогда не	2	2
что это	5	7
в свое	2	2
так называемые	3	2
так же	4	4
в нем	4	4
не на	4	2
можно было	6	9
оно не	3	2
что она	3	3
так и	7	4
в своей	2	2
несмотря на	3	5
что можно	2	3
речь идет	2	2
с точки	9	8
это не	7	6
прежде всего	9	8
речи в	4	6
этого термина	2	2
в современной	2	2
со стороны	4	4
в данном	4	4
и в	24	23
речи не	2	3
но не	5	6
зависимости от	6	5
в силу	10	7
вместе с	7	5
того или	4	2
если бы	9	12
тот же	2	5
к тому	5	4
в качестве	7	8
и т	33	39
в свою	3	2
для нас	2	4
здесь не	3	3
но вот	2	2
именно в	6	3
что оно	3	3
другой стороны	6	7
все это	6	5
при этом	6	2
по крайней	5	6
языка не	3	2
и потому	4	2
в результате	5	4
о котором	2	2
и есть	2	2
с этим	4	3
и с	5	7
уже в	3	3
что слово	3	3
гораздо более	3	3
языке как	3	3
того что	9	3
сводится к	3	3
точки зрения	14	14
того как	4	2
языка и	8	8
не все	2	3
не менее	7	7
же и	2	2
что он	6	5
в своем	3	2
была бы	3	4
тем не	4	6
также и	2	5
нуждается в	3	2
обстоятельство что	8	7
доказать что	2	2
с тем	5	2
что они	4	2
что-либо в	2	3
то же	8	6
уже из	2	2
как бы	7	4
в русском	4	10
что в	17	10
к примеру	2	4
уже не	8	8
в которых	6	2
в этом	14	18
из предыдущего	2	2
этого не	2	3
должно быть	3	4
на себе	6	4
роль в	4	2
этом смысле	3	5
со специфическими	3	3
не всегда	2	2
лишь в	2	5
можно ли	2	4
должна быть	3	5
того же	4	3
в языке	8	10
или иного	3	2
русском языке	4	10
никак не	2	3
что сокращения	2	4
той же	3	2
в их	3	2
еще не	5	5
в то	2	4
т е	38	22
и для	2	2
этом случае	2	2
этой точки	2	2
нисколько не	3	3
как раз	8	3
так как	9	15
язык в	5	2
но уже	5	2
было бы	15	15
то обстоятельство	8	7
в самом	10	12
смысле этого	3	2
в речи	3	6
нам не	3	2
таким образом	12	5
пишет он	2	2
должен быть	4	5
а в	5	3
это и	4	3
что если	2	2
однако не	6	4
мы говорим	2	2
грамматических форм	3	3
на то	4	4
на том	3	2
очевидно что	3	2
вовсе не	10	9
а именно	2	2
что я	2	4
для лингвиста	2	2
то и	2	3
вопрос о	2	9
только потому	6	8
области языка	2	2
речь в	4	5
культура языка	2	3
все эти	6	12
слово это	5	6
его к	3	2
не могут	2	5
письменной речи	3	21
как это	3	5
в соответствии	3	3
т п	18	24
если мы	2	4
между прочим	2	2
не в	11	8
должны быть	2	2
это только	3	2
у нас	10	12
но все	2	4
и еще	2	2
но также	2	4
и не	12	16
может быть	13	15
ни в	2	4
культуры языка	4	8
ср также	2	3
конечно не	2	2
даже и	3	2
ли это	2	2
состоит в	3	2
с помощью	7	7
на самом	2	2
и все	2	2
в этой	3	6
по существу	4	5
данном отношении	2	2
в связи	3	4
стоит в	4	2
я не	2	5
на примере	2	2
что касается	2	2
этом отношении	5	3
свою очередь	3	2
ораторской речи	3	4
не просто	5	2
только в	11	5
но и	6	7
что не	5	6
для этого	3	3
дело не	2	2
от этого	2	2
соответствии с	3	2
того чтобы	17	11
что же	6	5
не имеет	2	4
речи и	5	5
и более	2	2
что и	4	3
казалось бы	3	3
для того	16	9
как в	4	3
следует что	4	3
то что	9	9
как и	2	2
т д	14	14
а это	3	2
потому что	23	25
может служить	2	2
что все	2	5
один из	4	5
в особенности	3	4
в области	7	11
рядом с	5	2
и здесь	3	5
ясно что	3	5
слова и	4	5
или иначе	2	3
был бы	2	2
и пр	15	8
с этой	2	2
и его	5	3
самом деле	9	9
в пределах	4	4
до конца	2	3
с ними	4	2
это слово	3	4
он не	2	3
не может	7	9
по преимуществу	2	2
могли бы	2	2
в его	12	5
крайней мере	5	6
и то	3	5
и если	3	2
в той	5	2
заключается в	2	2
не только	10	20
по себе	2	10
том что	21	11
можно сказать	3	4
ли не	3	2
тем самым	4	2
на этот	2	2
и тем	2	5
в каком	2	4
не говоря	2	2
о пуризме	4	2
в них	7	4
свое время	2	2
в виду	5	3
смысл и	2	3
тем что	8	3
а не	8	10
хотя и	3	4
русский язык	4	6
этого слова	3	5
а только	8	3
в ней	6	3
думаю что	2	2
и даже	3	2
е такие	2	2
есть в	4	3
же время	2	3
и на	4	6
бы и	2	4
целый ряд	5	5
во всяком	5	5
же в	4	3
какой смысл	2	2
иными словами	4	8
а на	2	2
не было	3	4
обратить внимание	2	2
слов в	2	3
в самой	4	2
так или	2	2
хотя бы	10	9
или в	2	4
когда в	2	2
самого языка	2	2
живет и	2	3
ничего не	2	4
еще и	5	2
всяком случае	5	5
там где	4	5
превращается в	2	2
в том	30	19
то только	2	2
бы на	2	2
языка как	5	2
но в	2	11
в таких	4	3
русского языка	9	4
и вовсе	5	2
и что	5	8
с другой	7	8
языка в	12	3
в сущности	3	9
а если	3	2
в иных	2	2
все равно	2	2
все же	12	7
в частности	4	2
